,式別,馬番,配当,人気
0,単勝,11,150,1
1,複勝,11,110,1
2,複勝,8,140,2
3,複勝,3,280,7
4,枠連,7-8,220,1
5,馬連,8-11,340,1
6,ワイド,8-11,180,1
7,ワイド,3-11,440,5
8,ワイド,3-8,1000,14
9,馬単,11→8,380,1
10,3連複,3-8-11,1600,6
11,3連単,11→8→3,3530,7
