,式別,馬番,配当,人気
0,単勝,7,300,1
1,複勝,7,160,1
2,複勝,11,220,4
3,複勝,9,310,5
4,枠連,4-6,1270,4
5,馬連,7-11,1640,5
6,ワイド,7-11,630,5
7,ワイド,7-9,1130,10
8,ワイド,9-11,2090,27
9,馬単,7→11,2810,6
10,3連複,7-9-11,7840,25
11,3連単,7→11→9,29400,74
