,式別,馬番,配当,人気
0,単勝,3,150,1
1,複勝,3,110,2
2,複勝,6,110,1
3,複勝,12,120,3
4,枠連,2-3,200,1
5,馬連,3-6,200,1
6,ワイド,3-6,120,1
7,ワイド,3-12,220,2
8,ワイド,6-12,290,4
9,馬単,3→6,300,1
10,3連複,3-6-12,410,1
11,3連単,3→6→12,1130,1
