,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,アルペンローゼ,牝3,55.0,北村友,栗田,482(-4),美浦,2023105243,1102,イスラボニータ,ダヴォス,シニスターミニスター,0.6529563562531692,4,-0.0514131040317257,2,,6,57.2,47.8,59.7,2
1,2,2,ロンドンプライド,牝3,55.0,吉田豊,竹内,466(+38),美浦,2023100963,733,リオンディーズ,マイアトラクション,ディープインパクト,0.6127172353111311,5,-0.0630227479939398,9,,9,44.6,46.2,43.9,9
2,3,3,イサチルニャーニャ,牝3,55.0,中井,竹内,428(+2),美浦,2023100756,1141,ディスクリートキャット,イサチルルンルン,パイロ,0.3830945339525563,6,-0.129272649731476,14,,13,39.4,45.3,41.6,14
3,3,4,ソフィアプルーマ,牝3,53.0,△長浜,上原博,440(+2),美浦,2023105655,1214,ルヴァンスレーヴ,レイナプルーマ,エンパイアメーカー,-0.1378293124787718,11,-0.2795676921407321,11,,8,42.8,46.3,41.7,13
4,4,5,アンチェーン,牝3,55.0,ディー,嘉藤,512(-6),美浦,2023104668,5674,ヘニーヒューズ,オーパキャマラード,ダンカーク,-0.3724642255572009,12,-0.3472636988668581,6,,4,53.5,49.2,51.4,5
5,4,6,バターショコラ,牝3,55.0,岩田康,戸田,454(-8),美浦,2023105240,5203,マインドユアビスケッツ,ショコラトリー,ノヴェリスト,0.2472887862587099,8,-0.1684548272203656,4,,5,54.7,48.2,54.1,4
6,5,7,ハピネスドリーム,牝3,55.0,戸崎圭,木村,408(0),美浦,2023100950,5386,シニスターミニスター,ハッピーグラス,ディープインパクト,0.9493972894592534,2,0.0341149495086707,8,,14,47.4,45.1,43.1,10
7,5,8,サーロー,牝3,55.0,佐々木,勢司,474(-4),美浦,2023103873,1197,ヘンリーバローズ,フォルリベルター,エピファネイア,0.7414640788983536,3,-0.025877179693391,7,,3,48.6,49.9,49.3,7
8,6,9,ロット,牝3,55.0,柴田大,本間,424(+4),美浦,2023106586,1009,ダノンバラード,オクリモノ,ゴールドアリュール,-1.7537699811455183,14,-0.745792982059624,12,,11,41.0,45.7,41.9,12
9,6,10,アッシュグレイス,牝3,53.0,◇永島,上原博,450(-4),美浦,2023102404,1187,ウインブライト,ピッツネイル,クロフネ,0.100310268559972,9,-0.2108605314362764,3,,12,55.4,45.4,49.8,6
10,7,11,ローズライズ,牝3,51.0,★谷原,伊藤圭,442(-2),美浦,2023102570,1219,マジェスティックウォリアー,カレイドスコープ,エスポワールシチー,-0.060677206113614,10,-0.2573080486677904,13,,10,40.1,46.1,42.6,11
11,7,12,エリカビアリッツ,牝3,55.0,レーン,堀,454(0),美浦,2023102608,5585,キズナ,ブレーヴアンナ,War Front,0.2586440776651265,7,-0.1651786400863182,1,,2,77.5,54.5,56.8,3
12,8,13,リケアマカロニ,牝3,55.0,横山和,小野,474(+2),美浦,2023104808,1140,ニューイヤーズデイ,ヴァバーウエン,Kitten's Joy,-0.4102513309448656,13,-0.3581658962718501,5,,1,53.5,83.6,77.9,1
13,8,14,ダイユウアドバンス,牝3,52.0,▲佐藤,松永康,500(+4),美浦,2023106308,1207,クリソベリル,ニュアージュドール,ディープスカイ,1.008057239499613,1,0.0510393036910298,10,,7,44.3,46.7,46.3,8
