,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ジャストビコーズ,牝2,53.0,◇今村,武井,美浦,2023104065,1193,インディチャンプ  ,イナズマアマリリス  ,スエヒロコマンダー  ,1.1130028343117606,3,0.2618524746804834,3,,
1,2,2,パレスノハレブタイ,牝2,55.0,津村,鈴木伸,美浦,2023103747,1092,デクラレーションオブウォー  ,ルミノハレブタイ  ,クロフネ  ,1.3382030052874996,2,0.3698369032845676,2,,
2,3,3,ラスエル,牝2,55.0,内田博,田村,美浦,2023107446,422,クリソベリル  ,ラスエモーショネス  ,Fastnet Rock  (豪)  ,-0.48270236387192916,7,-0.5032948753408273,7,,
3,4,4,スピネルテソーロ,牝2,55.0,佐々木,栗田,美浦,2023106745,1197,スワーヴリチャード  ,トロントテソーロ  ,シャンハイボビー  Shanghai Bobby(米)  ,-0.48270236387192916,7,-0.5032948753408273,7,,
4,5,5,リワードシュテルン,牝2,52.0,▲舟山,村田,美浦,2023102267,1221,モーニン  ,リワードアメイン  ,グランシュヴァリエ  ,-0.7223753318032531,9,-0.6182190709210216,9,,
5,6,6,フライスカイハイ,牝2,55.0,吉田隼,菊川,美浦,2023103544,1095,ロードカナロア  ,ベイトゥベイ  Bay to Bay(米)  ,Sligo Bay  ,0.01050494778138681,5,-0.2667998962229942,5,,
6,6,7,ドナソール,牝2,55.0,木幡巧,畠山,美浦,2023100151,1162,マテラスカイ  ,ポッドジゼル  ,ゴールドアリュール  ,-1.1470474828197192,10,-0.8218511524282812,10,,
7,7,8,スーパーガール,牝2,55.0,丹内,伊藤圭,美浦,2023102602,1091,ドレフォン  Drefong(米)  ,パワースポット  ,スズカマンボ  ,1.6745466103891082,1,0.5311150757396309,1,,
8,7,9,ニシノグラシアス,牝2,52.0,▲佐藤,伊藤圭,美浦,2023106268,1207,モーリス  ,イェーガーオレンジ  ,ダイワメジャー  ,-1.3116173332624612,11,-0.9007630874793144,11,,
9,8,10,カシノサルパーレ,牝2,52.0,▲土田,和田雄,美浦,2023104795,1198,ヘンリーバローズ  ,シップスログ  ,ネオユニヴァース  ,-0.261628579106087,6,-0.3972890662695119,6,,
10,8,11,デールエルバハリ,牝2,52.0,▲小林美,杉山佳,栗東,2023106955,1206,クリソベリル  ,カーミングエフェクト  Calming Effect(米)  ,War Front  ,0.2718160569656238,4,-0.14150012095684134,4,,
