,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,エコロマーベリック,セ5,59.0,草野,岩戸,美浦,2020102902,01113,ハーツクライ  ,スターシップトラッフルズ  Starship Truffles(米)  ,Ghostzapper  
1,2,2,スズカキング,牡8,59.0,石神深,谷,栗東,2017105614,01059,キズナ  ,リアリサトリス  Realisatrice(仏)  ,Numerous  
2,3,3,フォージドブリック,牡4,59.0,大江圭,西田,美浦,2021104800,01120,ブリックスアンドモルタル  Bricks and Mortar(米)  ,リープオブフェイス  ,クロフネ  
3,4,4,シゲルタヌキ,牡6,59.0,小坂,谷,栗東,2019102813,01063,ビッグアーサー  ,シゲルオワリ  ,ファスリエフ  Fasliyev(米)  
4,4,5,クラップサンダー,牡6,59.0,黒岩,牧田,栗東,2019103278,01072,ジャスタウェイ  ,ゲッコウ  ,キングカメハメハ  
5,5,6,タマモエース,牡6,59.0,小野寺,宮地,栗東,2019104010,01123,ワールドエース  ,ミサトサウス  ,サウスヴィグラス  
6,5,7,フェーレンベルク,牡5,60.0,高田,千葉,美浦,2020103875,01046,エイシンフラッシュ  ,エクラミレネール  ,マツリダゴッホ  
7,6,8,アルマーザアミール,牡4,59.0,小牧加,斉藤崇,栗東,2021105455,01196,サトノダイヤモンド  ,オーサムフェザー  Awesome Feather(米)  ,Awesome of Course  
8,6,9,サルサロッサ,牝6,57.0,森一,高柳瑞,美浦,2019103100,01139,エスケンデレヤ  ,ノバラ  ,マンハッタンカフェ  
9,7,10,ニシノパプルブリリ,牝5,57.0,伴,加藤和,美浦,2020105495,01149,ディープブリランテ  ,ニシノクローバー  ,アドマイヤオーラ  
10,7,11,フリーダムレイン,牡4,59.0,中村,高橋一,栗東,2021105792,01101,ミッキーアイル  ,マンデラ  Mandela(独)  ,Acatenango  
11,8,12,メイショウアツイタ,牡7,59.0,難波,高橋忠,栗東,2018105731,01066,フェノーメノ  ,ロジカルクィーン  ,Deputy Minister  
12,8,13,ケンアンビシャス,牡7,60.0,五十嵐,久保田,美浦,2018103796,01069,トゥザワールド  ,モルフェキイ  ,モルフェデスペクタ  
