,2020102823
peds_0,ハーツクライ
peds_1,カラライナ Curalina(米)
peds_2,サンデーサイレンス Sunday Silence(米)
peds_3,アイリッシュダンス
peds_4,Curlin (米)
peds_5,Whatdreamsrmadeof
peds_6,Halo
peds_7,Wishing Well
peds_8,トニービン Tony Bin(愛)
peds_9,ビューパーダンス Buper Dance(米)
peds_10,Smart Strike (加)
peds_11,Sherriff's Deputy
peds_12,Graeme Hall
peds_13,Eastern Ruckus
peds_14,Hail to Reason
peds_15,Cosmah
peds_16,Understanding
peds_17,Mountain Flower
peds_18,カンパラ
peds_19,Severn Bridge
peds_20,Lyphard
peds_21,My Bupers
peds_22,Mr. Prospector
peds_23,Classy'n Smart
peds_24,Deputy Minister
peds_25,Barbarika
peds_26,デヒア
peds_27,Win Crafty Lady
peds_28,Eastern Echo
peds_29,Andrea Ruckus
peds_30,Turn-to
peds_31,Nothirdchance
peds_32,Cosmic Bomb
peds_33,Almahmoud
peds_34,Promised Land
peds_35,Pretty Ways
peds_36,Montparnasse
peds_37,Edelweiss
peds_38,Kalamoun
peds_39,State Pension
peds_40,Hornbeam
peds_41,Priddy Fair
peds_42,Northern Dancer
peds_43,Goofed
peds_44,Bupers
peds_45,Princess Revoked
peds_46,Raise a Native
peds_47,Gold Digger
peds_48,Smarten
peds_49,No Class
peds_50,Vice Regent
peds_51,Mint Copy
peds_52,Bates Motel
peds_53,War Exchange
peds_54,Deputy Minister
peds_55,Sister Dot
peds_56,Crafty Prospector
peds_57,Honeytab
peds_58,Damascus
peds_59,Wild Applause
peds_60,Bold Ruckus
peds_61,Do's Melody
