,2012110063
peds_0,Tapit (米)
peds_1,ミスエマ
peds_2,Pulpit
peds_3,Tap Your Heels
peds_4,Key of Luck
peds_5,Disregard That
peds_6,A.P. Indy
peds_7,Preach
peds_8,Unbridled
peds_9,Ruby Slippers
peds_10,Chief's Crown
peds_11,Balbonella
peds_12,Don't Forget Me
peds_13,Pendulina
peds_14,Seattle Slew
peds_15,Weekend Surprise
peds_16,Mr. Prospector
peds_17,Narrate
peds_18,Fappiano
peds_19,Gana Facil
peds_20,Nijinsky
peds_21,Moon Glitter
peds_22,Danzig
peds_23,Six Crowns
peds_24,ゲイメセン
peds_25,Bamieres
peds_26,Ahonoora
peds_27,African Doll
peds_28,Prince Tenderfoot
peds_29,Rosemarin
peds_30,Bold Reasoning
peds_31,My Charmer
peds_32,Secretariat
peds_33,Lassie Dear
peds_34,Raise a Native
peds_35,Gold Digger
peds_36,Honest Pleasure
peds_37,State
peds_38,Mr. Prospector
peds_39,Killaloe
peds_40,Le Fabuleux
peds_41,Charedi
peds_42,Northern Dancer
peds_43,Flaming Page
peds_44,In Reality
peds_45,Foggy Note
peds_46,Northern Dancer
peds_47,Pas de Nom
peds_48,Secretariat
peds_49,Chris Evert
peds_50,Vaguely Noble
peds_51,Gay Missile
peds_52,Riverman
peds_53,Bergamasque
peds_54,Lorenzaccio
peds_55,Helen Nichols
peds_56,African Sky
peds_57,Mithril
peds_58,Blue Prince
peds_59,La Tendresse
peds_60,Mossborough
peds_61,Rose Petal
