,2018104314
peds_0,Frankel
peds_1,エレアノラデュース Eleanora Duse(愛)
peds_2,Galileo (愛)
peds_3,Kind
peds_4,Azamour
peds_5,Drama Class
peds_6,Sadler's Wells (米)
peds_7,Urban Sea (米)
peds_8,デインヒル Danehill(米)
peds_9,Rainbow Lake
peds_10,Night Shift
peds_11,Asmara
peds_12,Caerleon (米)
peds_13,Stage Struck
peds_14,Northern Dancer
peds_15,Fairy Bridge
peds_16,Miswaki
peds_17,Allegretta
peds_18,Danzig
peds_19,Razyana
peds_20,Rainbow Quest
peds_21,Rockfest
peds_22,Northern Dancer
peds_23,Ciboulette
peds_24,Lear Fan
peds_25,Anaza
peds_26,Nijinsky
peds_27,Foreseer
peds_28,Sadler's Wells
peds_29,Sun Princess
peds_30,Nearctic
peds_31,Natalma
peds_32,Bold Reason
peds_33,Special
peds_34,Mr. Prospector
peds_35,Hopespringseternal
peds_36,Lombard
peds_37,Anatevka
peds_38,Northern Dancer
peds_39,Pas de Nom
peds_40,His Majesty
peds_41,Spring Adieu
peds_42,Blushing Groom
peds_43,I Will Follow
peds_44,Stage Door Johnny
peds_45,Rock Garden
peds_46,Nearctic
peds_47,Natalma
peds_48,Chop Chop
peds_49,Windy Answer
peds_50,Roberto
peds_51,Wac
peds_52,Darshaan
peds_53,Azaarika
peds_54,Northern Dancer
peds_55,Flaming Page
peds_56,Round Table
peds_57,Regal Gleam
peds_58,Northern Dancer
peds_59,Fairy Bridge
peds_60,イングリッシュプリンス
peds_61,Sunny Valley
