,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ダスク,牡6,60.0,小野寺,宮本,466(-4),栗東,2020106953,01123,シニスターミニスター,フォルクスオーパー,テイエムオペラオー
1,2,2,ボエーム,牡5,57.0,▲坂口,石栗,452(+8),美浦,2021100475,01211,アニマルキングダム,ラストマイア,ローエングリン
2,3,3,セイフウサツキ,牡4,59.0,難波,松永幹,480(+8),栗東,2022101461,01066,サトノクラウン,モンローライン,ダンスインザダーク
3,4,4,ディベルティスマン,牡4,59.0,伴,菊沢,522(+6),美浦,2022104000,01149,キズナ,レディオブキャメロット,モンジュー
4,5,5,ヴォンヌヴォー,牝6,58.0,黒岩,天間,474(+12),美浦,2020106585,01072,ドレフォン,ヴェイルオブクララ,ゼンノロブロイ
5,5,6,アドアプローズ,牡5,60.0,上野,小手川,480(0),美浦,2021107224,01087,ジャングルポケット,マーシフルレイン,キングカメハメハ
6,6,7,フォルガイル,牡5,57.0,▲水沼,加藤和,444(0),美浦,2021101164,01201,レイデオロ,アディクション,ハーツクライ
7,6,8,ベイビーベリッシモ,牡4,59.0,五十嵐,大和田,502(+2),美浦,2022102728,01069,ロゴタイプ,カルテブランシェ,ゴールドアリュール
8,7,9,ストームバンガード,牡5,60.0,小牧加,岡田,516(+16),栗東,2021103819,01196,ホッコータルマエ,ストームトウショウ,スターオブコジーン
9,7,10,ゴールデンルーキー,牡5,60.0,草野,粕谷,478(-4),美浦,2021110146,01113,Catholic Boy,Gold N Shaft,Mineshaft
10,8,11,ブランフォルテ,牡4,59.0,石神深,辻,482(-2),美浦,2022100527,01059,シルバーステート,トーセンバスケット,ブライアンズタイム
11,8,12,リオンエトワール,セ6,60.0,大江圭,堀内,440(+2),美浦,2020102589,01120,ルーラーシップ,ミネット,ディープインパクト
