,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,アメリカンピース,セ7,60.0,小坂,東田,450(-2),栗東,2018110131,01063,Tapit,La Cloche,Ghostzapper
1,2,2,キングサーガ,セ8,60.0,小野寺,小栗,502(+8),栗東,2017105439,01123,キングカメハメハ,ディアマイベイビー,ディープインパクト
2,3,3,ジオフロント,牡7,59.0,▲鷲頭,清水久,486(+10),栗東,2018104881,01202,ハーツクライ,アガルタ,キングカメハメハ
3,3,4,ヴラディア,牡6,60.0,石神深,小西,484(+4),美浦,2019105578,01059,ラブリーデイ,ユメノトキメキ,マーベラスサンデー
4,4,5,テイエムマジック,牡7,60.0,難波,鈴木孝,534(+2),栗東,2018103005,01066,マジェスティックウォリアー,ハミングライフ,スペシャルウィーク
5,4,6,ゲインサポート,セ4,60.0,森一,斉藤崇,458(+2),栗東,2021104590,01139,デクラレーションオブウォー,ローザミスティカ,アグネスタキオン
6,5,7,シャンドゥレール,セ5,60.0,五十嵐,国枝,496(0),美浦,2020103053,01069,エピファネイア,マジェスティッククオリティ,Quality Road
7,5,8,スピアヘッド,牡6,57.0,▲坂口,菊川,450(-2),美浦,2019102219,01211,ハービンジャー,チュウワプリンセス,スペシャルウィーク
8,6,9,ブリエヴェール,牡7,62.0,金子,小笠,454(-2),美浦,2018104849,01052,エイシンフラッシュ,レイヨンヴェール,ゴールドアリュール
9,6,10,ポリトナリティー,牝4,58.0,江田勇,和田雄,430(+16),美浦,2021100016,01023,エイシンヒカリ,ポリリズム,バチアー
10,7,11,ウィズユアドリーム,牡5,60.0,高田,宮地,508(-4),栗東,2020101918,01046,サトノダイヤモンド,フラワーバレイ,ディスクリートキャット
11,7,12,ウイングランブルー,牡5,60.0,大江圭,深山,482(+8),美浦,2020105211,01120,ゴールドシップ,サマーラグーン,ボストンハーバー
12,8,13,ルドヴィクス,牡7,60.0,上野,久保田,518(0),美浦,2018105213,01087,モーリス,ピーチブローフィズ,シンボリクリスエス
13,8,14,ニシノパプルブリリ,牝5,58.0,伴,加藤和,492(+4),美浦,2020105495,01149,ディープブリランテ,ニシノクローバー,アドマイヤオーラ
