,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,クリノゴッホ,セ5,60.0,伴,岩戸,美浦,2020103885,01149,マツリダゴッホ ,カムホームラッシー ,Lawman 
1,2,2,ケンヴァイザッハ,牡5,57.0,▲水沼,石栗,美浦,2020109076,01201,ルーラーシップ ,イストワール ,サンデーサイレンス Sunday Silence(米) 
2,3,3,デザートスター,セ6,60.0,小牧加,笹田,栗東,2019101825,01196,ゴールドヘイロー ,ニシノマドカ ,ジャングルポケット 
3,4,4,ソルドラード,セ9,60.0,上野,蛯名正,美浦,2016104874,01087,,,
4,4,5,アナザーエース,牡5,57.0,▲井上,宮,栗東,2020104005,01151,,,
5,5,6,イチナイス,牝4,57.0,▲土田,的場,美浦,2021101022,01198,,,
6,5,7,ウインメラナイト,牡4,59.0,森一,緒方,栗東,2021106196,01139,,,
7,6,8,ボルタドマール,セ6,60.0,小野寺,黒岩,美浦,2019104842,01123,,,
8,6,9,ローンウルフ,牡4,59.0,五十嵐,武市,美浦,2021104112,01069,,,
9,7,10,ビオグラフィア,牡7,60.0,中村,松下,栗東,2018105471,01101,,,
10,7,11,マオノアラシ,牡5,60.0,石神深,加藤士,美浦,2020100850,01059,,,
11,8,12,フレッチア,牡10,60.0,草野,木村,美浦,2015104699,01113,,,
12,8,13,カイトレッド,牝8,58.0,大江圭,和田雄,美浦,2017100641,01120,,,
