,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,マルベリーシチー,牡5,60.0,上野,奥平,美浦,2020100684,01087,トゥザワールド ,ヒカリヴィグラス ,サウスヴィグラス 
1,2,2,カシノインディード,牡5,57.0,▲水沼,天間,美浦,2020104175,01201,エピファネイア ,プロヴィナージュ ,フレンチデピュティ French Deputy(米) 
2,3,3,ロードプレイヤー,牡5,57.0,▲坂口,尾形,美浦,2020101199,01211,ヘニーヒューズ Henny Hughes(米) ,ガルデルスリール ,ダイワメジャー 
3,4,4,レッドラマンシュ,牡6,60.0,小牧加,庄野,栗東,2019103920,01196,リーチザクラウン ,フローラルウインド ,アグネスタキオン 
4,5,5,スコラーリ,牡6,60.0,伴,萩原,美浦,2019100718,01149,オルフェーヴル ,ナナヨーティアラ ,マイネルラヴ 
5,5,6,サンライズジーク,牡5,60.0,小野寺,矢作,栗東,2020103039,01123,リアルスティール ,マクシマール ,アグネスタキオン 
6,6,7,カズラポニアン,牡6,60.0,森一,高橋一,栗東,2019105148,01139,,,
7,6,8,スズノイナズマ,セ7,60.0,大江圭,深山,美浦,2018102811,01120,,,
8,7,9,サニーオーシャン,セ7,60.0,石神深,杉浦,美浦,2018103296,01059,,,
9,7,10,マイネルクロンヌ,牡8,60.0,五十嵐,青木,美浦,2017102952,01069,,,
10,8,11,フェスティヴビーム,牡5,60.0,草野,畠山,美浦,2020102452,01113,,,
11,8,12,コスモエスメラルダ,牝4,57.0,▲土田,土田,美浦,2021106785,01198,,,
