,式別,馬番,配当,人気
0,単勝,9,930,4
1,複勝,9,250,4
2,複勝,16,1560,15
3,複勝,13,140,1
4,枠連,5-8,2640,10
5,馬連,9-16,38680,72
6,ワイド,9-16,8870,69
7,ワイド,9-13,470,2
8,ワイド,13-16,2860,34
9,馬単,9→16,62350,120
10,3連複,9-13-16,21660,68
11,3連単,9→16→13,219420,617
