,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ソルトロング,牡4,60.0,小野寺,荒川,栗東,2021102960,01123,ニューイヤーズデイ ,アドマイヤアロング ,スペシャルウィーク 
1,2,2,リオンエトワール,セ5,60.0,大江圭,堀内,美浦,2020102589,01120,ルーラーシップ ,ミネット ,ディープインパクト 
2,3,3,スピードパンサー,牡4,57.0,▲坂口,尾形,美浦,2021104079,01211,アポロケンタッキー ,ハナズクリーム ,ブラックタイド 
3,4,4,レッドラマンシュ,牡6,60.0,小牧加,庄野,栗東,2019103920,01196,ロードカナロア ,レッドシェリール ,ゼンノロブロイ 
4,5,5,フリーダムレイン,牡4,60.0,五十嵐,高橋一,栗東,2021105792,01069,ミッキーアイル ,マンデラ Mandela(独) ,Acatenango 
5,5,6,カレンマックナイト,牡6,60.0,黒岩,平田,栗東,2019105140,01072,カレンブラックヒル ,カレンオプシス ,サムライハート 
6,6,7,スマラグドス,牡5,60.0,田村,西園正,栗東,2020102798,01105,ハーツクライ ,エメラルドスター Emerald Star(英) ,Mount Nelson (英) 
7,6,8,ポリトナリティー,牝4,58.0,草野,和田雄,美浦,2021100016,01113,エイシンヒカリ ,ポリリズム ,バチアー Bachir(愛) 
8,7,9,サンライズウェーヴ,牡4,60.0,難波,石坂,栗東,2021102221,01066,マジェスティックウォリアー Majestic Warrior(米) ,コパノレヴィーン ,ゴールドアリュール 
9,7,10,セファーラジエル,牡7,60.0,高田,高柳大,栗東,2018105131,01046,キズナ ,ダークサファイア ,Out of Place 
10,8,11,ミラクルジニア,牡4,60.0,上野,粕谷,美浦,2021103301,01087,ダンカーク Dunkirk(米) ,キセキノハナ ,ネオユニヴァース 
11,8,12,レッドファーロ,牡6,60.0,西谷誠,松永幹,栗東,2019104983,01005,ハーツクライ ,プラヤデシエルタ Playa Desierta(亜) ,Orpen 
