,式別,馬番,配当,人気
202609010101,単勝,1,530,2
202609010101,複勝,1,220,3
202609010101,複勝,2,190,2
202609010101,複勝,9,350,8
202609010101,枠連,1-1,1230,6
202609010101,馬連,1-2,1240,2
202609010101,ワイド,1-2,550,2
202609010101,ワイド,1-9,1230,15
202609010101,ワイド,2-9,1070,10
202609010101,馬単,1→2,2430,5
202609010101,三連複,1-2-9,4970,9
202609010101,三連単,1→2→9,20060,21
202609010102,単勝,8,360,3
202609010102,複勝,8,150,3
202609010102,複勝,11,110,2
202609010102,複勝,3,350,5
202609010102,枠連,5-7,360,2
202609010102,馬連,8-11,520,2
202609010102,ワイド,8-11,260,2
202609010102,ワイド,3-8,1050,14
202609010102,ワイド,3-11,660,5
202609010102,馬単,8→11,1010,4
202609010102,三連複,3-8-11,3010,9
202609010102,三連単,8→11→3,12040,31
202609010103,単勝,9,250,1
202609010103,複勝,9,110,1
202609010103,複勝,12,140,4
202609010103,複勝,13,130,2
202609010103,枠連,5-6,860,4
202609010103,馬連,9-12,760,3
202609010103,ワイド,9-12,280,3
202609010103,ワイド,9-13,200,1
202609010103,ワイド,12-13,380,5
202609010103,馬単,9→12,1170,5
202609010103,三連複,9-12-13,680,2
202609010103,三連単,9→12→13,3190,4
202609010104,単勝,8,520,2
202609010104,複勝,8,170,2
202609010104,複勝,5,140,1
202609010104,複勝,14,200,5
202609010104,枠連,4-5,480,1
202609010104,馬連,5-8,870,2
202609010104,ワイド,5-8,360,2
202609010104,ワイド,8-14,790,8
202609010104,ワイド,5-14,460,3
202609010104,馬単,8→5,1760,4
202609010104,三連複,5-8-14,2300,4
202609010104,三連単,8→5→14,11090,15
202609010105,単勝,3,1390,5
202609010105,複勝,3,310,5
202609010105,複勝,15,130,1
202609010105,複勝,16,1170,11
202609010105,枠連,2-7,420,1
202609010105,馬連,3-15,1560,5
202609010105,ワイド,3-15,600,5
202609010105,ワイド,3-16,5580,45
202609010105,ワイド,15-16,2850,27
202609010105,馬単,3→15,5140,17
202609010105,三連複,3-15-16,20260,55
202609010105,三連単,3→15→16,153710,363
202609010106,単勝,5,430,3
202609010106,複勝,5,130,2
202609010106,複勝,8,110,1
202609010106,複勝,11,140,4
202609010106,枠連,5-7,480,2
202609010106,馬連,5-8,490,2
202609010106,ワイド,5-8,160,1
202609010106,ワイド,5-11,310,4
202609010106,ワイド,8-11,190,3
202609010106,馬単,5→8,1090,5
202609010106,三連複,5-8-11,500,3
202609010106,三連単,5→8→11,2810,10
202609010107,単勝,10,210,1
202609010107,複勝,10,110,1
202609010107,複勝,2,130,2
202609010107,複勝,5,590,9
202609010107,枠連,1-5,290,1
202609010107,馬連,2-10,310,1
202609010107,ワイド,2-10,190,1
202609010107,ワイド,5-10,1430,18
202609010107,ワイド,2-5,1510,19
202609010107,馬単,10→2,590,1
202609010107,三連複,2-5-10,3890,11
202609010107,三連単,10→2→5,13740,33
202609010108,単勝,4,1430,6
202609010108,複勝,4,430,6
202609010108,複勝,2,120,1
202609010108,馬連,2-4,1330,5
202609010108,ワイド,2-4,450,6
202609010108,ワイド,3-4,1200,17
202609010108,ワイド,2-3,280,3
202609010108,馬単,4→2,3690,15
202609010108,三連複,2-3-4,2330,10
202609010108,三連単,4→2→3,19340,78
202609010109,単勝,13,280,1
202609010109,複勝,13,140,1
202609010109,複勝,15,240,4
202609010109,複勝,4,790,12
202609010109,枠連,7-7,680,3
202609010109,馬連,13-15,1010,3
202609010109,ワイド,13-15,450,3
202609010109,ワイド,4-13,2140,24
202609010109,ワイド,4-15,4420,43
202609010109,馬単,13→15,1490,3
202609010109,三連複,4-13-15,17610,53
202609010109,三連単,13→15→4,67150,194
202609010110,単勝,8,420,1
202609010110,複勝,8,190,2
202609010110,複勝,15,390,5
202609010110,複勝,3,550,9
202609010110,枠連,4-8,1570,8
202609010110,馬連,8-15,2710,11
202609010110,ワイド,8-15,1140,12
202609010110,ワイド,3-8,1420,15
202609010110,ワイド,3-15,4680,47
202609010110,馬単,8→15,5190,16
202609010110,三連複,3-8-15,19190,64
202609010110,三連単,8→15→3,75280,246
202609010111,単勝,1,420,1
202609010111,複勝,1,230,2
202609010111,複勝,6,1160,14
202609010111,複勝,5,300,5
202609010111,枠連,1-3,1660,8
202609010111,馬連,1-6,11090,38
202609010111,ワイド,1-6,3580,44
202609010111,ワイド,1-5,920,6
202609010111,ワイド,5-6,4960,59
202609010111,馬単,1→6,15600,54
202609010111,三連複,1-5-6,25760,85
202609010111,三連単,1→6→5,107420,338
202609010112,単勝,13,360,2
202609010112,複勝,13,160,2
202609010112,複勝,11,740,10
202609010112,複勝,12,220,3
202609010112,枠連,6-7,270,1
202609010112,馬連,11-13,9420,28
202609010112,ワイド,11-13,2520,25
202609010112,ワイド,12-13,510,4
202609010112,ワイド,11-12,2550,29
202609010112,馬単,13→11,13350,39
202609010112,三連複,11-12-13,11450,36
202609010112,三連単,13→11→12,82910,233
202609010201,単勝,6,510,3
202609010201,複勝,6,120,3
202609010201,複勝,3,110,2
202609010201,枠連,6-8,510,3
202609010201,馬連,6-9,620,3
202609010201,ワイド,6-9,200,3
202609010201,ワイド,3-6,170,2
202609010201,ワイド,3-9,130,1
202609010201,馬単,6→9,1150,6
202609010201,三連複,3-6-9,240,1
202609010201,三連単,6→9→3,2500,6
202609010202,単勝,6,390,2
202609010202,複勝,6,130,2
202609010202,複勝,14,130,3
202609010202,枠連,3-4,400,2
202609010202,馬連,6-8,430,1
202609010202,ワイド,6-8,190,2
202609010202,ワイド,6-14,440,5
202609010202,ワイド,8-14,190,1
202609010202,馬単,6→8,1080,4
202609010202,三連複,6-8-14,610,1
202609010202,三連単,6→8→14,3260,4
202609010203,単勝,11,3080,6
202609010203,複勝,11,290,5
202609010203,複勝,8,830,7
202609010203,枠連,7-8,1020,4
202609010203,馬連,8-11,34430,28
202609010203,ワイド,8-11,5600,28
202609010203,ワイド,9-11,480,6
202609010203,ワイド,8-9,1280,11
202609010203,馬単,11→8,89950,59
202609010203,三連複,8-9-11,12210,27
202609010203,三連単,11→8→9,232990,243
202609010204,単勝,6,290,2
202609010204,複勝,6,130,1
202609010204,複勝,13,200,4
202609010204,複勝,9,130,2
202609010204,枠連,4-8,1090,4
202609010204,馬連,6-13,1460,4
202609010204,ワイド,6-13,460,4
