race_id,式別,馬番,配当,人気
202405010107,ワイド,1-2,330,1
202405010107,ワイド,2-16,2860,39
202405010107,ワイド,1-16,2920,40
202405010107,馬単,2→1,1480,2
202405010107,三連複,1-2-16,12180,40
202405010107,三連単,2→1→16,40460,86
202405010108,単勝,10,480,2
202405010108,複勝,10,160,2
202405010108,複勝,13,130,1
202405010108,複勝,6,220,5
202405010108,枠連,5-7,530,2
202405010108,馬連,10-13,720,1
202405010108,ワイド,10-13,310,1
202405010108,ワイド,6-10,1050,14
202405010108,ワイド,6-13,800,7
202405010108,馬単,10→13,1480,2
202405010108,三連複,6-10-13,3020,5
202405010108,三連単,10→13→6,14380,24
202405010109,単勝,6,2390,6
202405010109,複勝,6,390,6
202405010109,複勝,16,190,2
202405010109,複勝,8,750,8
202405010109,枠連,3-8,3590,14
202405010109,馬連,6-16,3400,12
202405010109,ワイド,6-16,1180,12
202405010109,ワイド,6-8,5780,51
202405010109,ワイド,8-16,2320,21
202405010109,馬単,6→16,10100,31
202405010109,三連複,6-8-16,28490,79
202405010109,三連単,6→16→8,187800,487
202405010110,単勝,6,340,2
202405010110,複勝,6,140,2
202405010110,複勝,8,200,4
202405010110,複勝,1,190,3
202405010110,枠連,6-7,720,4
202405010110,馬連,6-8,940,3
202405010110,ワイド,6-8,380,5
202405010110,ワイド,1-6,360,3
202405010110,ワイド,1-8,730,10
202405010110,馬単,6→8,2000,9
202405010110,三連複,1-6-8,2020,7
202405010110,三連単,6→8→1,9060,29
202405010111,単勝,1,140,1
202405010111,複勝,1,110,1
202405010111,複勝,6,120,2
202405010111,複勝,9,390,8
202405010111,枠連,1-5,250,1
202405010111,馬連,1-6,230,1
202405010111,ワイド,1-6,160,1
202405010111,ワイド,1-9,670,9
202405010111,ワイド,6-9,1080,15
202405010111,馬単,1→6,320,1
202405010111,三連複,1-6-9,1680,6
202405010111,三連単,1→6→9,3310,8
202405010112,単勝,3,630,3
202405010112,複勝,3,240,4
202405010112,複勝,10,120,1
202405010112,複勝,11,870,11
202405010112,枠連,2-5,670,3
202405010112,馬連,3-10,820,3
202405010112,ワイド,3-10,380,3
202405010112,ワイド,3-11,7430,54
202405010112,ワイド,10-11,1560,16
202405010112,馬単,3→10,1850,5
202405010112,三連複,3-10-11,14910,44
202405010112,三連単,3→10→11,77050,214
202405010201,単勝,8,260,1
202405010201,複勝,8,140,1
202405010201,複勝,4,190,3
202405010201,複勝,12,370,7
202405010201,枠連,2-4,340,1
202405010201,馬連,4-8,780,2
202405010201,ワイド,4-8,360,2
202405010201,ワイド,8-12,790,9
202405010201,ワイド,4-12,1310,17
202405010201,馬単,8→4,1470,3
202405010201,三連複,4-8-12,3890,13
202405010201,三連単,8→4→12,13970,39
202405010202,単勝,2,400,2
202405010202,複勝,2,180,2
202405010202,複勝,8,800,11
202405010202,複勝,10,280,5
202405010202,枠連,1-4,6000,23
202405010202,馬連,2-8,7650,25
202405010202,ワイド,2-8,1990,26
202405010202,ワイド,2-10,760,7
202405010202,ワイド,8-10,3150,37
202405010202,馬単,2→8,12760,47
202405010202,三連複,2-8-10,16470,56
202405010202,三連単,2→8→10,87290,280
202405010203,単勝,14,640,4
202405010203,複勝,14,210,3
202405010203,複勝,16,190,2
202405010203,複勝,12,350,7
202405010203,枠連,7-8,580,1
202405010203,馬連,14-16,1040,3
202405010203,ワイド,14-16,510,4
202405010203,ワイド,12-14,1670,18
202405010203,ワイド,12-16,1520,17
202405010203,馬単,14→16,3030,11
202405010203,三連複,12-14-16,6130,21
202405010203,三連単,14→16→12,23130,78
202405010204,単勝,7,530,2
202405010204,複勝,7,210,2
202405010204,複勝,2,390,5
202405010204,複勝,3,270,3
202405010204,枠連,2-5,4330,14
202405010204,馬連,2-7,3920,12
202405010204,ワイド,2-7,1070,11
202405010204,ワイド,3-7,660,7
202405010204,ワイド,2-3,1280,13
202405010204,馬単,7→2,8630,23
202405010204,三連複,2-3-7,7550,22
202405010204,三連単,7→2→3,47910,138
202405010205,単勝,15,1120,5
202405010205,複勝,15,200,4
202405010205,複勝,6,190,2
202405010205,複勝,2,190,3
202405010205,枠連,3-8,2470,9
202405010205,馬連,6-15,2410,8
202405010205,ワイド,6-15,830,8
202405010205,ワイド,2-15,850,9
202405010205,ワイド,2-6,520,3
202405010205,馬単,15→6,6850,25
202405010205,三連複,2-6-15,4310,10
202405010205,三連単,15→6→2,36360,103
202405010206,単勝,1,470,3
202405010206,複勝,1,170,4
202405010206,複勝,14,170,5
202405010206,複勝,6,150,1
202405010206,枠連,1-7,1460,7
202405010206,馬連,1-14,1290,7
202405010206,ワイド,1-14,400,4
202405010206,ワイド,1-6,390,2
202405010206,ワイド,6-14,420,5
202405010206,馬単,1→14,2620,13
202405010206,三連複,1-6-14,2050,7
202405010206,三連単,1→14→6,12710,42
202405010207,単勝,14,1120,6
202405010207,複勝,14,280,6
202405010207,複勝,2,140,1
202405010207,複勝,8,240,4
202405010207,枠連,2-8,610,2
202405010207,馬連,2-14,2190,10
202405010207,ワイド,2-14,870,10
202405010207,ワイド,8-14,1670,25
202405010207,ワイド,2-8,570,3
202405010207,馬単,14→2,5090,22
202405010207,三連複,2-8-14,4900,15
202405010207,三連単,14→2→8,31290,106
202405010208,単勝,11,410,3
202405010208,複勝,11,150,1
202405010208,複勝,13,380,6
202405010208,複勝,10,180,3
202405010208,枠連,6-7,350,1
202405010208,馬連,11-13,2850,9
202405010208,ワイド,11-13,980,10
202405010208,ワイド,10-11,350,3
202405010208,ワイド,10-13,960,11
202405010208,馬単,11→13,5860,19
202405010208,三連複,10-11-13,3350,10
202405010208,三連単,11→13→10,22890,69
202405010209,単勝,7,500,3
202405010209,複勝,7,180,3
202405010209,複勝,3,150,1
202405010209,複勝,8,220,4
202405010209,枠連,3-7,690,4
202405010209,馬連,3-7,690,4
202405010209,ワイド,3-7,210,3
202405010209,ワイド,7-8,450,9
202405010209,ワイド,3-8,340,6
202405010209,馬単,7→3,1460,8
202405010209,三連複,3-7-8,1310,6
202405010209,三連単,7→3→8,6740,28
202405010210,単勝,14,230,1
202405010210,複勝,14,140,1
202405010210,複勝,2,250,4
202405010210,複勝,1,260,5
202405010210,枠連,2-8,1430,6
202405010210,馬連,2-14,1680,7
202405010210,ワイド,2-14,590,4
202405010210,ワイド,1-14,680,8
202405010210,ワイド,1-2,1110,18
202405010210,馬単,14→2,2340,8
202405010210,三連複,1-2-14,4550,15
202405010210,三連単,14→2→1,16990,52
202405010211,単勝,7,250,1
202405010211,複勝,7,130,1
202405010211,複勝,16,300,6
202405010211,複勝,10,160,2
202405010211,枠連,4-8,1630,6
202405010211,馬連,7-16,1660,4
202405010211,ワイド,7-16,600,5
202405010211,ワイド,7-10,270,1
202405010211,ワイド,10-16,990,12
202405010211,馬単,7→16,2080,5
202405010211,三連複,7-10-16,2070,3
202405010211,三連単,7→16→10,9390,19
202405010212,単勝,5,260,1
202405010212,複勝,5,130,1
202405010212,複勝,3,140,2
202405010212,複勝,6,160,3
202405010212,枠連,3-5,500,1
202405010212,馬連,3-5,510,1
202405010212,ワイド,3-5,240,1
202405010212,ワイド,5-6,390,2
202405010212,ワイド,3-6,400,3
202405010212,馬単,5→3,880,1
202405010212,三連複,3-5-6,1200,1
202405010212,三連単,5→3→6,3860,2
202405010301,単勝,8,250,1
202405010301,複勝,8,130,1
202405010301,複勝,16,730,9
