,式別,馬番,配当,人気
202605010101,単勝,2,630,4
202605010101,複勝,2,170,2
202605010101,複勝,10,190,4
202605010101,複勝,9,160,3
202605010101,枠連,1-5,790,3
202605010101,馬連,2-10,2030,7
202605010101,ワイド,2-10,650,6
202605010101,ワイド,2-9,460,5
202605010101,ワイド,9-10,330,4
202605010101,馬単,2→10,3980,13
202605010101,三連複,2-9-10,1960,5
202605010101,三連単,2→10→9,18370,51
202605010102,単勝,16,2990,11
202605010102,複勝,16,960,13
202605010102,複勝,3,590,10
202605010102,複勝,7,180,2
202605010102,枠連,2-8,11050,30
202605010102,馬連,3-16,37160,74
202605010102,ワイド,3-16,10230,78
202605010102,ワイド,7-16,2370,27
202605010102,ワイド,3-7,1350,14
202605010102,馬単,16→3,76030,143
202605010102,三連複,3-7-16,42290,126
202605010102,三連単,16→3→7,392320,1
202605010103,単勝,2,520,2
202605010103,複勝,2,170,3
202605010103,複勝,11,440,7
202605010103,複勝,7,110,1
202605010103,枠連,2-6,2680,9
202605010103,馬連,2-11,5450,16
202605010103,ワイド,2-11,1710,21
202605010103,ワイド,2-7,280,2
202605010103,ワイド,7-11,750,8
202605010103,馬単,2→11,10710,26
202605010103,三連複,2-7-11,2450,7
202605010103,三連単,2→11→7,27790,89
202605010104,単勝,11,1780,4
202605010104,複勝,11,240,4
202605010104,複勝,10,140,2
202605010104,複勝,1,130,1
202605010104,枠連,5-6,2650,8
202605010104,馬連,10-11,4040,13
202605010104,ワイド,10-11,880,10
202605010104,ワイド,1-11,780,5
202605010104,ワイド,1-10,290,2
202605010104,馬単,11→10,11450,32
202605010104,三連複,1-10-11,2890,6
202605010104,三連単,11→10→1,36170,90
202605010105,単勝,3,2050,7
202605010105,複勝,3,420,7
202605010105,複勝,7,160,2
202605010105,複勝,4,400,6
202605010105,枠連,2-4,1030,4
202605010105,馬連,3-7,2430,9
202605010105,ワイド,3-7,930,11
202605010105,ワイド,3-4,2770,25
202605010105,ワイド,4-7,860,9
202605010105,馬単,3→7,7400,25
202605010105,三連複,3-4-7,12930,42
202605010105,三連単,3→7→4,88630,268
202605010106,単勝,9,1660,5
202605010106,複勝,9,230,5
202605010106,複勝,11,110,1
202605010106,複勝,2,230,4
202605010106,枠連,5-6,250,1
202605010106,馬連,9-11,1120,5
202605010106,ワイド,9-11,440,4
202605010106,ワイド,2-9,1520,18
202605010106,ワイド,2-11,360,3
202605010106,馬単,9→11,3820,13
202605010106,三連複,2-9-11,2460,9
202605010106,三連単,9→11→2,30290,82
202605010107,単勝,10,450,2
202605010107,複勝,10,220,2
202605010107,複勝,8,370,5
202605010107,複勝,14,400,6
202605010107,枠連,4-5,2360,9
202605010107,馬連,8-10,2540,8
202605010107,ワイド,8-10,870,7
202605010107,ワイド,10-14,950,9
