,式別,馬番,配当,人気
0,単勝,2,320,2
1,複勝,2,130,2
2,複勝,5,120,1
3,複勝,13,230,5
4,枠連,2-3,370,1
5,馬連,2-5,400,1
6,ワイド,2-5,210,1
7,ワイド,2-13,1160,16
8,ワイド,5-13,730,8
9,馬単,2→5,890,2
10,3連複,2-5-13,3560,9
11,3連単,2→5→13,14730,35
