race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1150,不良,1勝クラス,410,1,0,0,0
ダート,1150,不良,1勝クラス,420,0,0,0,2
ダート,1150,不良,1勝クラス,430,0,0,0,2
ダート,1150,不良,1勝クラス,440,0,0,0,7
ダート,1150,不良,1勝クラス,450,1,0,1,5
ダート,1150,不良,1勝クラス,460,0,0,1,6
ダート,1150,不良,1勝クラス,470,0,1,0,4
ダート,1150,不良,1勝クラス,480,0,0,1,4
ダート,1150,不良,1勝クラス,490,0,0,0,4
ダート,1150,不良,1勝クラス,500,0,0,0,1
ダート,1150,不良,1勝クラス,510,1,2,0,0
ダート,1150,不良,1勝クラス,520,0,0,0,2
ダート,1150,不良,1勝クラス,530,0,0,0,1
ダート,1150,不良,1勝クラス,540,0,0,0,1
ダート,1150,不良,2勝クラス,450,0,0,0,2
ダート,1150,不良,2勝クラス,460,0,1,0,3
ダート,1150,不良,2勝クラス,470,0,0,1,1
ダート,1150,不良,2勝クラス,480,0,0,0,2
ダート,1150,不良,2勝クラス,490,0,0,0,2
ダート,1150,不良,2勝クラス,500,1,0,0,2
ダート,1150,不良,3勝クラス,440,0,0,0,1
ダート,1150,不良,3勝クラス,450,0,0,0,1
ダート,1150,不良,3勝クラス,460,0,0,0,2
ダート,1150,不良,3勝クラス,470,0,0,0,2
ダート,1150,不良,3勝クラス,480,1,1,0,1
ダート,1150,不良,3勝クラス,490,0,0,1,3
ダート,1150,不良,3勝クラス,500,0,0,0,2
ダート,1150,不良,3勝クラス,520,0,0,0,1
ダート,1150,不良,all,400,0,0,0,1
ダート,1150,不良,all,410,1,0,0,7
ダート,1150,不良,all,420,0,0,0,9
ダート,1150,不良,all,430,0,0,0,14
ダート,1150,不良,all,440,0,0,1,16
ダート,1150,不良,all,450,3,1,1,23
ダート,1150,不良,all,460,1,2,3,23
ダート,1150,不良,all,470,3,2,1,13
ダート,1150,不良,all,480,2,5,3,20
ダート,1150,不良,all,490,0,0,2,13
ダート,1150,不良,all,500,1,0,1,5
ダート,1150,不良,all,510,1,2,0,0
ダート,1150,不良,all,520,0,0,0,4
ダート,1150,不良,all,530,0,0,0,1
ダート,1150,不良,all,540,0,0,0,1
ダート,1150,不良,新馬,430,0,0,0,3
ダート,1150,不良,新馬,440,0,0,0,1
ダート,1150,不良,新馬,450,0,0,0,2
ダート,1150,不良,新馬,460,0,0,0,2
ダート,1150,不良,新馬,470,1,0,0,1
ダート,1150,不良,新馬,480,0,1,0,3
ダート,1150,不良,新馬,490,0,0,1,1
ダート,1150,不良,未勝利,400,0,0,0,1
ダート,1150,不良,未勝利,410,0,0,0,7
ダート,1150,不良,未勝利,420,0,0,0,7
ダート,1150,不良,未勝利,430,0,0,0,9
ダート,1150,不良,未勝利,440,0,0,1,7
ダート,1150,不良,未勝利,450,2,1,0,13
ダート,1150,不良,未勝利,460,1,1,2,10
ダート,1150,不良,未勝利,470,2,1,0,5
ダート,1150,不良,未勝利,480,1,3,2,10
ダート,1150,不良,未勝利,490,0,0,0,3
ダート,1150,不良,未勝利,500,0,0,1,0
ダート,1150,不良,未勝利,520,0,0,0,1
ダート,1150,全,1勝クラス,380,0,0,0,2
ダート,1150,全,1勝クラス,390,0,1,0,5
ダート,1150,全,1勝クラス,400,1,0,0,5
ダート,1150,全,1勝クラス,410,3,0,1,7
ダート,1150,全,1勝クラス,420,1,6,0,37
ダート,1150,全,1勝クラス,430,3,1,15,78
ダート,1150,全,1勝クラス,440,5,9,10,108
ダート,1150,全,1勝クラス,450,11,11,11,136
ダート,1150,全,1勝クラス,460,15,11,7,162
ダート,1150,全,1勝クラス,470,17,17,11,170
ダート,1150,全,1勝クラス,480,11,10,15,110
ダート,1150,全,1勝クラス,490,7,8,6,113
ダート,1150,全,1勝クラス,500,7,9,6,70
ダート,1150,全,1勝クラス,510,3,3,5,48
ダート,1150,全,1勝クラス,520,3,3,1,30
ダート,1150,全,1勝クラス,530,3,1,2,9
ダート,1150,全,1勝クラス,540,0,0,1,5
ダート,1150,全,1勝クラス,550,1,1,0,5
ダート,1150,全,2勝クラス,410,0,0,0,2
ダート,1150,全,2勝クラス,420,0,1,0,5
ダート,1150,全,2勝クラス,430,0,4,1,13
ダート,1150,全,2勝クラス,440,1,0,2,20
ダート,1150,全,2勝クラス,450,2,2,2,40
ダート,1150,全,2勝クラス,460,2,4,3,44
ダート,1150,全,2勝クラス,470,5,4,5,43
ダート,1150,全,2勝クラス,480,4,1,6,52
ダート,1150,全,2勝クラス,490,2,3,3,49
ダート,1150,全,2勝クラス,500,4,2,2,34
ダート,1150,全,2勝クラス,510,1,3,0,24
ダート,1150,全,2勝クラス,520,2,1,2,8
ダート,1150,全,2勝クラス,530,2,1,1,9
ダート,1150,全,2勝クラス,540,1,1,0,3
ダート,1150,全,2勝クラス,550,1,0,0,1
ダート,1150,全,3勝クラス,420,0,0,0,2
ダート,1150,全,3勝クラス,430,0,0,0,8
ダート,1150,全,3勝クラス,440,1,0,0,4
ダート,1150,全,3勝クラス,450,2,2,2,16
ダート,1150,全,3勝クラス,460,2,3,5,29
ダート,1150,全,3勝クラス,470,7,1,2,26
ダート,1150,全,3勝クラス,480,2,3,0,31
ダート,1150,全,3勝クラス,490,1,2,2,29
ダート,1150,全,3勝クラス,500,1,2,1,19
ダート,1150,全,3勝クラス,510,1,0,2,12
ダート,1150,全,3勝クラス,520,0,3,3,12
ダート,1150,全,3勝クラス,530,0,0,0,4
ダート,1150,全,3勝クラス,540,0,0,0,2
ダート,1150,全,3勝クラス,550,0,1,0,2
ダート,1150,全,all,380,0,0,0,19
ダート,1150,全,all,390,1,1,1,21
ダート,1150,全,all,400,1,0,1,39
ダート,1150,全,all,410,4,3,5,81
ダート,1150,全,all,420,4,15,6,162
ダート,1150,全,all,430,10,17,23,264
ダート,1150,全,all,440,22,19,27,309
ダート,1150,全,all,450,35,35,31,379
ダート,1150,全,all,460,41,32,29,412
ダート,1150,全,all,470,46,39,29,396
ダート,1150,全,all,480,33,33,37,328
ダート,1150,全,all,490,17,23,18,263
ダート,1150,全,all,500,18,15,14,163
ダート,1150,全,all,510,5,8,15,113
ダート,1150,全,all,520,6,8,9,66
ダート,1150,全,all,530,6,2,6,28
ダート,1150,全,all,540,1,1,2,17
ダート,1150,全,all,550,3,2,0,11
ダート,1150,全,オープン,440,0,0,0,2
ダート,1150,全,オープン,450,0,1,0,1
ダート,1150,全,オープン,460,0,0,0,2
ダート,1150,全,オープン,470,1,1,1,5
ダート,1150,全,オープン,480,0,0,0,4
ダート,1150,全,オープン,490,0,0,0,4
ダート,1150,全,オープン,500,0,0,1,5
ダート,1150,全,オープン,510,0,0,0,2
ダート,1150,全,オープン,520,1,1,0,2
ダート,1150,全,オープン,530,0,0,1,1
ダート,1150,全,オープン,550,1,0,0,0
ダート,1150,全,新馬,380,0,0,0,2
ダート,1150,全,新馬,390,1,0,0,0
ダート,1150,全,新馬,400,0,0,0,6
