,race_time,race_id,race_name
0,0950,202507010301,3歳未勝利
1,1005,202506010301,3歳未勝利
2,1020,202507010302,3歳未勝利
3,1035,202506010302,3歳未勝利
4,1050,202507010303,3歳新馬
5,1105,202506010303,3歳未勝利
6,1120,202507010304,4歳以上1勝クラス
7,1135,202506010304,3歳新馬
8,1210,202507010305,3歳未勝利
9,1225,202506010305,3歳新馬
10,1240,202507010306,3歳1勝クラス
11,1255,202506010306,4歳以上1勝クラス
12,1310,202507010307,4歳以上1勝クラス
13,1325,202506010307,3歳未勝利
14,1345,202507010308,牛若丸JS
15,1400,202506010308,4歳以上1勝クラス
16,1420,202507010309,渥美特別
17,1435,202506010309,黒竹賞
18,1455,202507010310,恵那特別
19,1510,202506010310,初凪賞
20,1530,202507010311,すばるS
21,1545,202506010311,迎春S
22,1610,202507010312,3歳未勝利
23,1625,202506010312,4歳以上2勝クラス
