,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,マテンロウジョイ,牡6,60.0,上野,四位,470(-8),14.6,4,栗東,2020106836,1087,ハービンジャー,パッショナルダンス,サンデーサイレンス
1,2,2,コンテナワールド,牡5,60.0,井上,中竹,490(-4),10.4,2,栗東,2021104924,1151,エピファネイア,ユッカマウンテン,アグネスタキオン
2,3,3,トーアモルペウス,セ6,60.0,五十嵐,辻,480(-6),56.0,7,美浦,2020103173,1069,タリスマニック,トーアヒミコ,クロフネ
3,4,4,スマイルスルー,セ6,61.0,高田,斉藤崇,520(+6),1.2,1,栗東,2020103446,1046,ルーラーシップ,スマイルシャワー,シンボリクリスエス
4,5,5,ヴァレッタカズマ,牡7,60.0,小牧加,藤野,510(-4),48.0,8,栗東,2019105292,1196,ミッキーアイル,ティッカーコード,Giant's Causeway
5,6,6,オールザワールド,牡9,60.0,森一,中竹,480(-4),7.2,3,栗東,2017105248,1139,キズナ,エピックラヴ,Dansili
6,7,7,アトラクティーボ,牡7,59.0,坂口,武藤,546(+20),16.0,5,美浦,2019100641,1211,ワンアンドオンリー,シャンパンルージュ,ファスリエフ
7,8,8,スノーディーヴァ,牝5,57.0,水沼,深山,476(+8),19.8,6,美浦,2021103504,1201,エイシンヒカリ,スノースタイル,ホワイトマズル
