,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,サウンズオーサム,牝2,55.0,荻野極,千葉,484(0),5.9,2,美浦,2024106184,1160,アドマイヤマーズ,ウィラビーオーサム,Awesome Gambler,1.071018552891381,2,-0.5467237953566556,2,-0.3514905606770077,5,-0.3306406262006726,2,0.1012470876569004,0.1347502440977723,58.8,48.2,57.3,3
1,2,2,シルクドマルス,牝2,55.0,坂井,松尾,470(0),2.2,1,美浦,2024103198,1163,アドマイヤマーズ,ルシルク,Dynaformer,3.083240952650899,1,-0.8929783577303743,1,-0.3011773945649318,4,-0.7359865786422469,6,0.0675061016932705,0.361375654625844,77.3,53.2,58.3,2
2,2,3,フェリシタル,牝2,55.0,三浦,辻野,476(0),19.5,8,栗東,2024102322,1122,キズナ,レネーズタイタン,Bernstein,-0.4873226471436324,10,-0.2883405059831799,9,-0.4808530852529344,3,-1.1228349316429598,14,0.0458497449621812,0.0407705866757362,43.5,56.6,42.6,9
3,3,4,コスモモノポリー,牝2,55.0,石川,相沢,440(0),27.2,9,美浦,2024103614,1150,ゴールドシップ,パフォーム,マツリダゴッホ,-0.6115161662936022,12,-0.4142306031627918,10,-0.2834780932163256,11,-1.1307851873176729,15,0.0454866729372009,0.0292289132417962,43.4,44.4,42.5,10
4,3,5,デルマキタカミ,牝2,55.0,木幡初,室井,450(0),109.2,15,美浦,2024100518,1153,ホークビル,ヘブンリーフレグランス,Dream Ahead,-0.088068867304668,6,-0.0635903224667047,11,-0.24690810151872,14,-0.1808228022736615,1,0.1176109055716203,0.0072804619063814,42.9,43.3,42.1,11
5,4,6,ラッパースヴィル,牝2,55.0,津村,手塚徳,418(0),6.7,3,美浦,2024106403,1092,フィエールマン,スネガエクスプレス,ウォーエンブレム,0.660001083214463,3,-0.0863808547215878,3,-0.0360361353840845,6,-0.5922908255100487,4,0.0779380080716096,0.1186606627129637,58.6,47.5,57.2,4
6,4,7,モンサンアミュザン,牝2,55.0,木幡巧,牧,412(0),70.8,11,美浦,2024101224,1162,ダノンキングリー,テーオーメーテル,ゴールドアリュール,-0.3877371693511404,9,-0.2490605227912994,6,0.0119708368189853,13,-0.5062941566471936,3,0.084937051474498,0.0112291870081476,51.8,43.6,51.8,7
7,5,8,マスターボリューム,牝2,55.0,柴田大,畠山,452(0),38.0,10,美浦,2024103638,1009,ウインブライト,ミラティオ,Verrazano,-0.5430544178907324,11,-0.1188101266109952,7,-0.4547955935194295,7,-0.8479386467260042,8,0.0603563354905888,0.0209217484257067,47.9,47.3,47.7,8
8,5,9,マリナーヴァレイ,牝2,55.0,戸崎圭,石坂,464(0),10.2,4,栗東,2024106232,5386,アドマイヤマーズ,エリーシエズワールド,Champs Elysees,0.1484894164753656,4,-0.2223102733413499,4,-0.1082063464464458,2,-0.7051063241305534,5,0.0696232277539101,0.0779437686447899,58.5,58.4,57.1,5
9,6,10,サンプラザマツモト,牝2,55.0,吉田豊,深山,428(0),81.0,13,美浦,2024106782,733,ジャスタウェイ,コマノサラサ,クロフネ,-0.7553309469453636,14,0.2829807823150154,13,-0.4895215155769467,10,-1.0141290033321322,13,0.0511148757063643,0.0098151412367513,41.8,45.0,41.0,13
10,6,11,クレイターレイク,牝2,55.0,石橋脩,奥村武,440(0),9.9,5,美浦,2024103583,1077,ダノンバラード,オレゴンレディ,Shamardal,-0.0118228053035557,5,-0.2483856552213937,5,-0.3475999043605494,9,-0.9989948283900976,11,0.0518943405787743,0.0803057010279653,53.3,45.8,52.9,6
11,7,12,フランベリー,牝2,55.0,大野,杉浦,480(0),118.5,12,美浦,2024100813,1096,タニノフランケル,モズエエヤン,アグネスデジタル,-0.6786692389216225,13,-0.0311720423903182,14,-0.205754248601621,15,-0.8280387696290125,7,0.0615694495259653,0.006709083883349,41.7,43.2,41.0,14
12,7,13,ドナリー,牝2,53.0,△石神道,林,400(0),18.6,6,美浦,2024106056,1209,ルーラーシップ,ライトニングホーク,ディープインパクト,-0.3613628346108904,8,-0.7991478835350732,12,-0.6326455352980696,8,-0.9237277124121251,10,0.0559510306488386,0.0427433569987557,42.7,47.3,41.9,12
13,8,14,ウイニングレイ,牝2,55.0,松岡,戸田,490(0),16.0,7,美浦,2024105882,1085,ウインブライト,シャーラレイ,Afleet Alex,-0.2699015455894827,7,0.481500048098697,8,0.3522213135927089,1,-0.8916936507573057,9,0.0577723863743586,0.0496891525110535,46.2,81.8,75.9,1
14,8,15,ニシノキフジン,牝2,55.0,野中,萱野,442(0),92.7,14,美浦,2024103938,1158,ハービンジャー,ニシノマメフク,スペシャルウィーク,-0.7679633658774175,15,-0.3851344103574494,15,-1.054137165612943,12,-1.013583208542886,12,0.0511427815539182,0.0085763370029865,41.5,44.3,40.7,15
