,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,フジフォンテ,セ7,60.0,大江圭,粕谷,478(+10),7.1,4,美浦,2019105759,01120,ロージズインメイ,シチリアーナ,メイショウオウドウ
1,2,2,セイウンパシュート,セ6,60.0,五十嵐,上原博,452(-6),4.3,1,美浦,2020100233,01069,ハーツクライ,シーソルティキッス,キングカメハメハ
2,3,3,アドアプローズ,牡5,60.0,上野,小手川,484(-2),46.0,11,美浦,2021107224,01087,ジャングルポケット,マーシフルレイン,キングカメハメハ
3,4,4,ホウオウスターツ,セ4,57.0,▲水沼,天間,464(0),14.7,8,美浦,2022103528,01201,ダノンバラード,ツインクルスター,サクラバクシンオー
4,5,5,トゥデイイズザデイ,牡7,57.0,▲井上,池江,472(0),11.6,7,栗東,2019100628,01151,ディープインパクト,キトゥンズクイーン,Kitten's Joy
5,5,6,メイショウトム,牡5,60.0,難波,谷,484(-4),8.5,6,栗東,2021110065,01066,パレスマリス,Nothing But Tom,Street Cry
6,6,7,コイヌール,セ5,60.0,伴,柄崎,474(+4),7.1,5,美浦,2021106561,01149,リオンディーズ,ウインジュビリー,シンボリクリスエス
7,6,8,アスクアットバット,セ4,60.0,黒岩,加藤公,478(-8),39.1,10,栗東,2022110139,01072,カラヴァッジオ,Luna Rosa,Malibu Moon
8,7,9,セイフウサツキ,牡4,60.0,高田,松永幹,472(-4),6.0,3,栗東,2022101461,01046,サトノクラウン,モンローライン,ダンスインザダーク
9,7,10,エーオーキング,牡4,60.0,草野,久保田,450(-6),30.0,9,美浦,2022102738,01113,リアルスティール,テイコフトウショウ,タイキシャトル
10,8,11,タイセイレスポンス,セ5,60.0,小牧加,安田,492(+4),4.6,2,栗東,2021105646,01196,ミッキーアイル,チャイマックス,Congrats
11,8,12,スラッシュ,牡3,58.0,中村,安達,470(-4),94.3,12,栗東,2023103189,01101,フィレンツェファイア,テンザンオトヒメ,フジキセキ
