,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ロードトレイル,牡5,58.0,高杉,藤岡健,474(-4),13.5,8,栗東,2021100157,1213,ロードカナロア,パラダイスリッジ,ディープインパクト,0.2013680323181321,4,0.035125724668448,3,0.1894217068017106,8,0.3288261213249754,3,0.1399530260213432,0.0587698878240012,52.6,44.5,47.3,8
1,2,2,トーラスシャイン,牡5,58.0,西村淳,坂口,476(-8),7.8,2,栗東,2021101654,1171,ファインニードル,スターライト,ディープインパクト,0.2273552138487486,3,-0.4053885089275821,11,-0.5243561508268946,11,0.0040522715910784,4,0.1011427604013555,0.1017171135415406,39.4,42.1,40.5,11
2,3,3,アイルシャイン,セ6,58.0,飛田愛,新谷,482(-4),18.2,7,栗東,2020104520,5609,ヴィクトワールピサ,ベストオブミー,ブライアンズタイム,-0.229087981670614,6,-0.4783372543779108,4,-0.2707467167109508,4,-0.1511281613358956,5,0.086604567374893,0.0435930486606602,51.8,52.9,47.6,7
3,4,4,ダークエクリプス,牡7,58.0,松若,今野,482(-8),67.3,12,栗東,2019106739,1154,ドゥラメンテ,スターズインハーアイズ,Woodman,-0.8251675245878966,12,-1.2723070971271624,10,-0.8223827454612583,5,-1.4547395345571634,12,0.0235174143292422,0.0117889076615752,41.7,51.1,41.2,10
4,5,5,コウセキ,牡4,58.0,松山,西園翔,480(-2),1.8,1,栗東,2022110026,1126,Harry Angel,Nonchalance,Dubawi,2.928369022028056,1,0.4304603021410245,1,-0.332621184368894,1,0.6453604767852844,1,0.1920664091757479,0.4407741586800096,76.1,77.4,76.1,1
5,5,6,ミロワール,牝7,56.0,酒井,柴田,474(-6),9.2,4,栗東,2019100566,1034,ロードカナロア,オルトリンデ,ダンスインザダーク,-0.2706301726348801,8,-0.5599956268504747,8,-0.0817955118944862,6,-0.9922550310517656,9,0.0373459953210859,0.0862384223504366,48.6,47.1,46.5,9
6,6,7,ブラックケリー,牝4,56.0,吉村,長谷川,432(-8),65.2,11,栗東,2022100791,1216,モーリス,フィールグリュック,ストラヴィンスキー,-0.8134690739287214,11,-1.4524014409774353,5,-0.9784303518192556,10,-1.393604334904519,11,0.0250000139197633,0.0121686117426996,51.1,42.6,48.6,6
7,6,8,エスペシャリー,牝4,56.0,田山,四位,444(-2),29.4,9,栗東,2022103707,1220,スワーヴリチャード,セイリングホーム,Shamardal,-0.6811000641113187,10,-0.803413950004755,12,-0.2842624826085986,12,-1.1703146508625863,10,0.0312545843836729,0.0269861729804087,38.5,41.8,37.6,12
8,7,9,ヒーローインチーフ,セ5,58.0,西塚,吉田,448(0),14.0,5,栗東,2021106661,1200,ディスクリートキャット,カクテルラウンジ,タニノギムレット,0.3187743522828887,2,-0.7949884523362329,2,-0.3410416369262523,7,0.4673207293927663,2,0.1607421367585556,0.0566709632588583,56.6,45.9,52.7,4
9,7,10,ベイビーキッス,牝4,56.0,藤懸,青木,458(+2),10.8,3,美浦,2022102514,1138,サンダースノー,タイキエイワン,フサイチコンコルド,-0.153139902052098,5,-1.6787153617352328,6,-0.6224923232002522,2,-0.3809048263658632,7,0.068825608358465,0.0734623597800016,50.7,57.6,56.9,2
10,8,11,リチャードバローズ,牡5,58.0,団野,上村,512(-4),25.8,10,栗東,2021103977,1180,エピファネイア,マルケサ,Kingmambo,-0.4695302322924791,9,-1.8201609974581483,7,-0.1737127573100079,3,-0.4988341861264933,8,0.0611693673331027,0.0307516854893029,49.6,52.9,52.9,3
11,8,12,ジュンヴァンケット,セ5,58.0,富田,友道,464(+2),13.9,6,栗東,2021107180,1168,キズナ,ピクシーホロウ,キングヘイロー,-0.2337416691998166,7,-0.4270609419074679,9,-0.2696020694273823,9,-0.3305767194516985,6,0.0723781166227724,0.0570786680305048,43.3,44.1,52.0,5
