,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,イントゥゴールデン,牡2,52.0,▲石神道,和田雄,美浦,2023104288,01209,ミスチヴィアスアレックス Mischevious Alex(米) ,マリーゴールド ,スピルバーグ ,0.2234300968670529,3
1,2,2,イイクニパッション,牡2,55.0,内田博,深山,美浦,2023100102,00422,ビッグアーサー ,シゲルアンドロメダ ,Birdstone ,-1.62075080609955,5
2,3,3,カイトヴァイター,牡2,55.0,丸田,武市,美浦,2023109039,01117,ミスチヴィアスアレックス Mischevious Alex(米) ,ミネルバローズ ,フジキセキ ,-1.9009363315531314,7
3,4,4,ピーエムキンチャン,牡2,55.0,石川,和田郎,美浦,2023107455,01150,タリスマニック Talismanic(英) ,ミスアバンセ ,パイロ Pyro(米) ,-2.34085725712643,8
4,5,5,セイウンヤオヨロズ,牡2,55.0,大野,上原博,美浦,2023100006,01096,セイウンコウセイ ,エテ ,Congrats (米) ,-1.870840782994852,6
5,6,6,メーゼ,牝2,55.0,菊沢,菊沢,美浦,2023106176,01161,Disco Partner ,マーケットレガシー Marquet Legacy(米) ,Gio Ponti (米) ,0.8189771714572143,1
6,7,7,ヘリテージブルーム,牡2,55.0,戸崎圭,伊藤圭,美浦,2023103365,05386,ミスチヴィアスアレックス Mischevious Alex(米) ,オールドパサデナ ,エンパイアメーカー Empire Maker(米) ,0.017941595638713163,4
7,8,8,ニシノガンリキ,牡2,52.0,▲佐藤,杉浦,美浦,2023104598,01207,インディチャンプ ,アイチャン Ai Chan(愛) ,Dream Ahead ,0.2989909092623221,2
