,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ブライテストドーン,セ5,60.0,黒岩悠,田島,美浦,2020102956,01072,マインドユアビスケッツ  Mind Your Biscuits(米)  ,デザートオブムーン  ,ゼンノロブロイ  
1,2,2,シュガーコルト,セ6,60.0,高田,宮地,栗東,2019106364,01046,ヘニーヒューズ  Henny Hughes(米)  ,フェミニンガール  ,Kingmambo  (米)  
2,3,3,ボルタドマール,セ6,60.0,伴,黒岩,美浦,2019104842,01149,ストロングリターン  ,ハルマッタン  ,マンハッタンカフェ  
3,3,4,ダノンロッキー,牡4,60.0,大江圭,萩原,美浦,2021105654,01120,キズナ  ,ティファニーズオナー  Tiffany's Honour(米)  ,Street Cry  (愛)  
4,4,5,マグナレガリア,牡4,60.0,五十嵐,相沢,美浦,2021106574,01069,レイデオロ  ,デライトポイント  ,トウカイテイオー  
5,4,6,ヴラディア,牡6,60.0,上野,小西,美浦,2019105578,01087,ラブリーデイ  ,ユメノトキメキ  ,マーベラスサンデー  
6,5,7,コスモゴレアドール,牡6,57.0,▲土田,土田,美浦,2019100741,01198,ゴールドシップ  ,グワダラハラ  Guadalajara(独)  ,Acatenango  
7,5,8,リーゼントジャンボ,牡7,57.0,▲水沼,小手川,美浦,2018104268,01201,ゴールドシップ  ,レディインディ  Lady Indy(米)  ,A.P. Indy  
8,6,9,アメリカンピース,セ7,60.0,小坂,東田,栗東,2018110131,01063,Tapit  (米)  ,La Cloche  ,Ghostzapper  
9,6,10,コガクボウ,セ3,58.0,難波,金成,美浦,2022105877,01066,ノーブルミッション  Noble Mission(英)  ,アプローズパワー  ,クロフネ  
10,7,11,ホウオウエクレール,牡8,60.0,小牧加,宮,栗東,2017103293,01196,ブラックタイド  ,タマヒカル  ,パラダイスクリーク  Paradise Creek(米)  
11,7,12,オーバーザドリーム,牡5,60.0,小野寺,清水久,栗東,2020105734,01123,ヘニーハウンド  ,マザーレイク  ,サンデーサイレンス  Sunday Silence(米)  
12,8,13,ザロック,セ4,60.0,石神深,武井,美浦,2021106845,01059,コパノリッキー  ,インシスト  ,シンボリクリスエス  
13,8,14,ロードプレイヤー,牡5,57.0,▲坂口,尾形,美浦,2020101199,01211,グレーターロンドン  ,ホオポノポノ  ,タニノギムレット  
