,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,シュパネントウィル,牡3,57.0,川田,吉村,栗東,2022110090,1088,War of Will  (米)  ,Spank  ,Blame  ,-0.3970977398676076,8,-0.3128605647225415,8,,
1,1,2,ゴールドプレミアム,牡3,57.0,幸,大橋,栗東,2022103447,732,ゴールドドリーム  ,ヤマイチシキブ  ,ブライアンズタイム  Brian's Time(米)  ,-2.891449940355864,16,-1.1043163007942374,16,,
2,2,3,ダイゴセイリュウ,牡3,57.0,太宰,秋山,栗東,2022107180,1037,アドミラブル  ,グレイスフルワード  ,ハーツクライ  ,-0.9260925603867576,11,-0.4807101510681044,11,,
3,2,4,タイセイビートル,牡3,57.0,松若,平田,栗東,2022101815,1154,ゴールドドリーム  ,ナリッシュ  ,ヘニーヒューズ  Henny Hughes(米)  ,-0.9176299070709248,10,-0.4780249586931499,10,,
4,3,5,ワンダーティコ,牝3,51.0,★河原田,森田,栗東,2022102583,1204,アニマルキングダム  Animal Kingdom(米)  ,ギャラクティコ  ,マンハッタンカフェ  ,-2.4630589970221264,14,-0.9683882352563057,14,,
5,3,6,ゼンノソブリン,牡3,57.0,田口,四位,栗東,2022106992,1208,シャンハイボビー  Shanghai Bobby(米)  ,ヴォワルドール  ,ハービンジャー  Harbinger(英)  ,0.2920558699853669,4,-0.09419273688095346,4,,
6,4,7,ベラジオルークン,牡3,57.0,国分優,辻野,栗東,2022100107,1125,ルヴァンスレーヴ  ,フクシア  ,ゴールドアリュール  ,0.262020704679268,5,-0.1037228681353611,5,,
7,4,8,シャオシンユン,牝3,53.0,◇永島,西園正,栗東,2022101198,1187,イスラボニータ  ,フロルセレジェイラ  ,ロードカナロア  ,0.7288990959380222,2,0.044417230419019516,2,,
8,5,9,レーヴセクレタ,牡3,56.0,☆吉村,千田,栗東,2022101738,1216,ルヴァンスレーヴ  ,セクレタ  ,スズカマンボ  ,-0.10640617588613031,6,-0.22062438985687588,6,,
9,5,10,チェリスト,牡3,54.0,▲田山,牧浦,栗東,2022103854,1220,ミスターメロディ  ,カスタネット  ,パイロ  Pyro(米)  ,-1.409236520499079,13,-0.6340113001618215,13,,
10,6,11,モズケイスター,牡3,56.0,☆高杉,高柳大,栗東,2022102127,1213,モズアスコット  ,モズレディーモー  ,Uncle Mo  (米)  ,0.5919094346534776,3,0.0009505326587959939,3,,
11,6,12,メイショウイチモン,牡3,57.0,角田和,飯田,栗東,2022100208,1186,エピファネイア  ,メイショウマンボ  ,スズカマンボ  ,-0.3609476862805422,7,-0.30139018485189545,7,,
12,7,13,ビーム,牡3,57.0,岩田康,上村,栗東,2022101427,5203,グレーターロンドン  ,タイキオードリー  ,キングカメハメハ  ,-1.0258486874018924,12,-0.5123626815002424,12,,
13,7,14,タヴァネスタン,牡3,57.0,松山,藤岡,栗東,2022110074,1126,American Pharoah  (米)  ,エリシェヴァ  ,Smart Strike  (加)  ,1.7441761958079127,1,0.36656375176310674,1,,
14,8,15,ランスオブコメット,牡3,57.0,団野,奥村豊,栗東,2022104412,1180,リオンディーズ  ,マイティティー  ,エンパイアメーカー  Empire Maker(米)  ,-0.4941090092660041,9,-0.3436421542726973,9,,
15,8,16,テイエムタワードン,セ3,57.0,川須,畑端,栗東,2022100329,1128,タワーオブロンドン  ,サットー  ,ステイゴールド  ,-2.772049521583121,15,-1.0664306540485404,15,,
