,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ネメス,牡3,57.0,坂井,坂口,488(+4),栗東,2023110095,1163,Cairo Prince,A Lot of Fabric,Girolamo,1.856751802955161,1,0.3482030630822055,3,,2,52.9,55.1,73.6,1
1,2,2,マナボニート,牝3,55.0,松若,北出,482(+2),栗東,2023100617,1154,グァンチャーレ,スカイシーアキラ,Swiss Spirit,1.2549467412864077,5,0.1196672778014313,7,,8,44.1,44.3,42.9,8
2,3,3,メイショウテリオス,牡3,57.0,吉村,高橋亮,490(-2),栗東,2023102241,1216,ミスターメロディ,メイショウサワヤカ,メイショウサムソン,0.790055822119573,7,-0.0568752906294281,4,,5,50.5,48.5,50.0,4
3,4,4,リーグナイト,牡3,54.0,▲田山,新谷,464(0),栗東,2023106284,1220,キズナ,サリエル,キングカメハメハ,1.4525425832290009,3,0.1947044015859136,5,,7,45.5,45.2,47.7,5
4,5,5,カネコメブライト,牝3,52.0,▲和田陽,中尾,468(-2),栗東,2023100014,1223,レッドファルクス,セレブレイションキャット,Storm Cat,0.7431132643668535,8,-0.0747017513596816,8,,3,43.6,49.1,43.1,7
5,6,6,エスカレイト,牝3,55.0,ハマーハン,小栗,444(0),栗東,2023105815,5676,ロードカナロア,フライングティパット,Tapit,1.373530937260761,4,0.1646996879206484,9,,10,43.6,43.5,42.9,9
6,7,7,マイオウンウェイ,牡3,57.0,鮫島駿,高野,454(+6),栗東,2023106823,1157,キズナ,アウィルアウェイ,ジャスタウェイ,-1.2536398534280644,10,-0.8329697867293634,10,,9,43.5,43.5,42.7,10
7,7,8,ラブルラウザー,牝3,55.0,川田,大久保,462(+4),栗東,2023101166,1088,パイロ,ポピュリズム,ダイワメジャー,-0.1162283872328829,9,-0.4010371906599924,1,,4,75.0,49.0,58.1,2
8,8,9,ランスオブキング,牡3,57.0,松山,本田,474(-2),栗東,2023104798,1126,ベストウォーリア,スティルネス,ゴールドヘイロー,0.8228121356594008,6,-0.0444360635199554,2,,1,57.2,76.6,55.4,3
9,8,10,ファイブタンゴ,牡3,57.0,西村淳,秋山,504(-4),栗東,2023107298,1171,リオンディーズ,ラティーンセイル,ヴァーミリアン,1.543074729604618,2,0.2290840312748606,6,,6,44.1,45.3,43.6,6
