,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2020104940,ダンカーク,マコトカンパネッロ,Unbridled's Song,Secret Status,デュランダル,マコトコーラン,Unbridled,Trolley Song,A.P. Indy,Private Status,サンデーサイレンス,サワヤカプリンセス,ブライアンズタイム,ビットオブフェイス,Fappiano,Gana Facil,Caro,Lucky Spell,Seattle Slew,Weekend Surprise,Alydar,Miss Eva,Halo,Wishing Well,ノーザンテースト,スコッチプリンセス,Roberto,Kelley's Day,Affirmed,Falafel,Mr. Prospector,Killaloe,Le Fabuleux,Charedi,フォルティノ,Chambord,Lucky Mel,Incantation,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Raise a Native,Sweet Tooth,Con Brio,Apolinea,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Creme dela Creme,Meadow Saffron,Hail to Reason,Bramalea,Graustark,Golden Trail,Exclusive Native,Won't Tell You,Northern Dancer,Queen's Statute
2020101396,デクラレーションオブウォー,アズマクィーン,War Front,Tempo West,アドマイヤムーン,ハートオブクィーン,Danzig,Starry Dreamer,Rahy,Tempo,エンドスウィープ,マイケイティーズ,ジョリーズヘイロー,マイシークレット,Northern Dancer,Pas de Nom,Rubiano,Lara's Star,Blushing Groom,Glorious Song,Gone West,Terpsichorist,フォーティナイナー,Broom Dance,サンデーサイレンス,ケイティーズファースト,Halo,Jolie Jolie,Woodman,ヘブンズシークレット,Nearctic,Natalma,Admiral's Voyage,Petitioner,Fappiano,Ruby Slippers,Forli,True Reality,Red God,Runaway Bride,Halo,Ballade,Mr. Prospector,Secrettame,Nijinsky,Glad Rags,Mr. Prospector,File,Dance Spell,Witching Hour,Halo,Wishing Well,Kris,Katies,Hail to Reason,Cosmah,Sir Ivor,Who's to Know,Mr. Prospector,プレイメイト,セクレト,Heavenly Blue
2020104534,エピファネイア,リンターバル,シンボリクリスエス,シーザリオ,Desert Prince,Interpose,Kris S.,Tee Kay,スペシャルウィーク,キロフプリミエール,Green Desert,Flying Fairy,Indian Ridge,Interval,Roberto,Sharp Queen,Gold Meridian,Tri Argo,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Danzig,Foreign Courier,Bustino,Fairy Footsteps,Ahonoora,Hillbrow,Habitat,Intermission,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Northern Dancer,Pas de Nom,Sir Ivor,Courtly Dee,Busted,Ship Yard,Mill Reef,Glass Slipper,Lorenzaccio,Helen Nichols,Swing Easy,Golden City,Sir Gaylord,Little Hut,Stage Door Johnny,Peace
2020101712,ミッキーアイル,アバンドーネ,ディープインパクト,スターアイル,ファルブラヴ,ロスグラシアレス,サンデーサイレンス,ウインドインハーヘア,ロックオブジブラルタル,アイルドフランス,Fairy King,Gift of the Night,シンボリクリスエス,ロスマリヌス,Halo,Wishing Well,Alzao,Burghclere,デインヒル,Offshore Boom,Nureyev,ステラマドリッド,Northern Dancer,Fairy Bridge,Slewpy,Little Nana,Kris S.,Tee Kay,サンデーサイレンス,アンブロジン,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Danzig,Razyana,Be My Guest,Push a Button,Northern Dancer,Special,Alydar,My Juliet,Nearctic,Natalma,Bold Reason,Special,Seattle Slew,Rare Bouquet,Lithiot,Nenana Road,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Halo,Wishing Well,Mr. Prospector,バラダ
2020105885,ミッキーロケット,ミオビキニブロンド,キングカメハメハ,マネーキャントバイミーラヴ,ブラックタイド,ハッピーパレット,Kingmambo,マンファス,Pivotal,Sabreon,サンデーサイレンス,ウインドインハーヘア,アフリート,スリーフェアリー,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Polar Falcon,Fearless Revival,Caerleon,Sabria,Halo,Wishing Well,Alzao,Burghclere,Mr. Prospector,Polite Lady,リアルシャダイ,スリードーター,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Nureyev,Marie d'Argonne,Cozzene,Stufida,Nijinsky,Foreseer,Miswaki,Flood,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Raise a Native,Gold Digger,Venetian Jester,Friendly Ways,Roberto,Desert Vixen,サンプリンス,チヨダマサコ
2020104505,リオンディーズ,バンドゥッチ,キングカメハメハ,シーザリオ,Rossini,Piper Piper,Kingmambo,マンファス,スペシャルウィーク,キロフプリミエール,Miswaki,Touch of Greatness,Spectacular Bid,Alvarada,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Mr. Prospector,Hopespringseternal,Hero's Honor,Ivory Wand,Bold Bidder,Spectacular,Hard Work,Easterborn,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Raise a Native,Gold Digger,Buckpasser,Rose Bower,Northern Dancer,Glowing Tribute,Sir Ivor,Natashka,Bold Ruler,High Bid,Promised Land,Stop On Red,Golden Ruler,Adds Up,Mt. Hope,Milk Maid Lucy
2020100687,イスラボニータ,マロトウショウ,フジキセキ,イスラコジーン,ワイルドラッシュ,ロゼトウショウ,サンデーサイレンス,ミルレーサー,Cozzene,Isla Mujeres,Wild Again,Rose Park,サクラバクシンオー,コーニストウショウ,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Caro,Ride the Trails,Crafty Prospector,Lido Isle,Icecapade,Bushel-n-Peck,Plugged Nickle,Hardship,サクラユタカオー,サクラハゴロモ,ダンディルート,ローズトウショウ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,フォルティノ,Chambord,Prince John,Wildwook,Mr. Prospector,Real Crafty Lady,Far North,She Is Gorgeous,Nearctic,Shenanigans,Khaled,Dama,Key to the Mint,Toll Booth,Drone,Hard and Fast,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Luthier,Dentrelic,テューダーペリオッド,ワカシラオキ
2020102841,ロードカナロア,Coeur de Beaute,キングカメハメハ,レディブラッサム,Dabirsim,Twilight Tear,Kingmambo,マンファス,Storm Cat,サラトガデュー,ハットトリック,Rumored,ロックオブジブラルタル,Clara Bow,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,サンデーサイレンス,トリッキーコード,ロイヤルアカデミー,Bright Generation,デインヒル,Offshore Boom,Sadler's Wells,Brigid,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Northern Dancer,South Ocean,Secretariat,Crimson Saint,His Majesty,Song Sparrow,In Reality,Alada,Halo,Wishing Well,Lost Code,Dam Clever,Nijinsky,Crimson Saint,Rainbow Quest,New Generation,Danzig,Razyana,Be My Guest,Push a Button,Northern Dancer,Fairy Bridge,Irish River,Luv Luvin'
2020101761,トーホウジャッカル,トーホウキャサリン,スペシャルウィーク,トーホウガイア,キングズベスト,クーヴェルチュール,サンデーサイレンス,キャンペンガール,Unbridled's Song,Agami,Kingmambo,Allegretta,ブラックホーク,ヒカリクリスタル,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Unbridled,Trolley Song,Nureyev,Agacerie,Mr. Prospector,Miesque,Lombard,Anatevka,Nureyev,シルバーレーン,ラッキーソブリン,コステューム,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,シル,セントクレスピン,ミスアシヤガワ,Fappiano,Gana Facil,Caro,Lucky Spell,Northern Dancer,Special,Exclusive Native,Quiet Charm,Raise a Native,Gold Digger,Nureyev,Pasadoble,Agio,Promised Lady,Espresso,Almyra,Northern Dancer,Special,Silver Hawk,Strait Lane,Nijinsky,Sovereign,メンデス,テンプルバンブー
2020103967,ラニ,ネバーグレイス,Tapit,ヘヴンリーロマンス,スキャターザゴールド,ノーノーネヴアー,Pulpit,Tap Your Heels,サンデーサイレンス,ファーストアクト,Mr. Prospector,Dance Smartly,Nijinsky,Cavort,A.P. Indy,Preach,Unbridled,Ruby Slippers,Halo,Wishing Well,Sadler's Wells,Arkadina,Raise a Native,Gold Digger,Danzig,Classy'n Smart,Northern Dancer,Flaming Page,Foolish Pleasure,Stepping High,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Fappiano,Gana Facil,Nijinsky,Moon Glitter,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Fairy Bridge,Ribot,Natashka,Native Dancer,Raise You,Nashua,Sequence,Northern Dancer,Pas de Nom,Smarten,No Class,Nearctic,Natalma,Bull Page,Flaring Top,What a Pleasure,Fool-Me-Not,No Robbery,Bebop
