,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ストラクチャー,セ5,57.0,▲水沼,和田郎,462(+16),美浦,2021101216,01201,リアルスティール,サンヴィヴァン,マンハッタンカフェ
1,2,2,チャイボーグ,牝6,57.0,▲土田,的場,496(0),美浦,2020104778,01198,シャンハイボビー,アンスタンフィール,スタチューオブリバティ
2,3,3,テンカオーライ,牡6,60.0,中村,松下,502(-8),栗東,2020102959,01101,マインドユアビスケッツ,トゥールエッフェル,フレンチデピュティ
3,3,4,バラジ,セ7,60.0,小牧加,井上,502(-4),栗東,2019106698,01196,ヴァンセンヌ,シーダーアラジ,アラジ
4,4,5,グランナヴィール,牡5,60.0,難波,堀内,540(-6),美浦,2021101779,01066,ゴールドシップ,ウッドシップ,クロフネ
5,4,6,ヒノタマボーイ,牡6,60.0,江田勇,和田雄,464(-2),美浦,2020103021,01023,ヴィクトワールピサ,ブラッキーピサ,タイキシャトル
6,5,7,ブライトマン,セ5,60.0,大江圭,蛯名正,482(+2),美浦,2021105007,01120,キズナ,キトゥンズダンプリングス,Kitten's Joy
7,5,8,カイコウ,セ5,60.0,五十嵐,田島,472(+2),美浦,2021102388,01069,スクリーンヒーロー,トウカイクルーク,エンパイアメーカー
8,6,9,ブラックバラード,セ5,60.0,伴,嘉藤,460(+6),美浦,2021103267,01149,ダノンバラード,メイショウグレア,ジャングルポケット
9,6,10,マオノアラシ,牡6,60.0,上野,加藤士,494(-2),美浦,2020100850,01087,ゴールドアクター,マオノココロ,ヴァーミリアン
10,7,11,コスモアミマネラ,牡5,60.0,石神深,柄崎,494(-2),美浦,2021106768,01059,Study of Man,ヴァニティールールズ,New Approach
11,7,12,サトミノマロン,牡7,60.0,金子,鈴木伸,532(+20),美浦,2019101661,01052,ディープブリランテ,プレシャスライン,キングカメハメハ
12,8,13,ソルトチューダ,牡4,59.0,小野寺,荒川,496(0),栗東,2022105914,01123,ルーラーシップ,ピュアダイヤモンド,フジキセキ
13,8,14,カルマンフィルター,牡5,60.0,草野,戸田,492(-4),美浦,2021104842,01113,スワーヴリチャード,カルマート,シンボリクリスエス
