,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ピカソジャスパー,牝2,51.0,★谷原,松山,452(0),美浦,2023100494,1219,タリスマニック  Talismanic(英)  2013 黒鹿毛  [血統][産駒]  Sadler's Wells系,ホクセンジョウオー  2015 黒鹿毛  [血統][産駒]  FNo.[14-f],サムライハート  2002 鹿毛  [血統][産駒],1.0753186670244084,3,0.1578895159835478,3,,
1,1,2,ノーブルジャッカル,牡2,56.0,武藤,武藤,462(0),美浦,2023100056,1169,サトノダイヤモンド  2013 鹿毛  [血統][産駒]  Halo系,ノーブルプルート  2014 鹿毛  [血統][産駒]  FNo.[9-c],キングズベスト  King's Best(米)  1997 鹿毛  [血統][産駒],-0.8162365048030902,13,-0.6024599625567499,13,,
2,2,3,レイヌドプランタン,牝2,55.0,横山琉,矢嶋,416(0),美浦,2023103730,1192,モーリス  2011 鹿毛  [血統][産駒]  Roberto系,レイヌドネージュ  2010 鹿毛  [血統][産駒]  FNo.[11],フジキセキ  1992 青鹿毛  [血統][産駒],-1.62060848880809,16,-0.925793813823554,16,,
3,2,4,ポプリーニ,牝2,53.0,△鷲頭,井上,382(0),栗東,2023107176,1202,レイデオロ  2014 鹿毛  [血統][産駒]  Mr. Prospector系,フィリアプーラ  2016 鹿毛  [血統][産駒]  FNo.[4-m],ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒],-0.4778161859408625,11,-0.46642495982102095,11,,
4,3,5,クロンヌジャン,牡2,56.0,丹内,鈴木孝,466(0),栗東,2023105001,1091,アメリカンペイトリオット,エリカバイラ,ブラックタイド,-0.9843034942324692,14,-0.6700179432467892,14,,
5,3,6,エクストラダーク,牡2,56.0,丸山,和田雄,434(0),美浦,2023101892,1127,シルバーステート  2013 青鹿毛  [血統][産駒]  Halo系,ガラスマスカレイド  2012 鹿毛  [血統][産駒]  FNo.[2-f],キングカメハメハ  2001 鹿毛  [血統][産駒],0.44486147757681826,4,-0.09553570913178552,4,,
6,4,7,マーゴットデウス,牡2,56.0,小沢,今野,514(0),栗東,2023103289,1185,ドレフォン  Drefong(米)  2013 鹿毛  [血統][産駒]  Storm Bird系,スターリーウインド  2012 黒鹿毛  [血統][産駒]  FNo.[2-f],ゼンノロブロイ  2000 黒鹿毛  [血統][産駒],1.2553143854666504,2,0.23024249447204737,2,,
7,4,8,ウェイクフィールド,牡2,56.0,高杉,嘉藤,492(0),美浦,2023103500,1213,キズナ  2010 青鹿毛  [血統][産駒]  Halo系,ハーレムライン  2015 鹿毛  [血統][産駒]  FNo.[8-f],マンハッタンカフェ  1998 青鹿毛  [血統][産駒],0.12733650904152796,8,-0.22317139634046387,8,,
8,5,9,ウインアベリア,牝2,52.0,▲石神道,和田郎,416(0),美浦,2023105853,1209,シルバーステート  2013 青鹿毛  [血統][産駒]  Halo系,ウインアキレア  2012 鹿毛  [血統][産駒]  FNo.[2-n],コンデュイット  Conduit(愛)  2005 栗毛  [血統][産駒],-1.2002238158503942,15,-0.7568115543418478,15,,
9,5,10,インナーヴォイス,牡2,55.0,☆吉村,清水久,452(0),栗東,2023102751,1216,キタサンブラック  2012 鹿毛  [血統][産駒]  Halo系,アンジュミノル  2017 鹿毛  [血統][産駒]  FNo.[2-c],ルーラーシップ  2007 鹿毛  [血統][産駒],2.2760502876052793,1,0.6405482695706576,1,,
10,6,11,ミエノストロング,牡2,56.0,荻野極,上原佑,472(0),美浦,2023105257,1160,シスキン  Siskin(米)  2017 鹿毛  [血統][産駒]  Mr. Prospector系,リセエンヌ  2013 青鹿毛  [血統][産駒]  FNo.[16-a],ディープインパクト  2002 鹿毛  [血統][産駒],-0.717463204565495,12,-0.562756004433868,12,,
11,6,12,ノヴェルカフナ,牝2,52.0,▲舟山,土田,452(0),美浦,2023105426,1221,スマートオーディン  2013 黒鹿毛  [血統][産駒]  Halo系,ウィステリアカフナ  2011 黒鹿毛  [血統][産駒]  FNo.[2-b],スペシャルウィーク  1995 黒鹿毛  [血統][産駒],0.4147632783940029,5,-0.10763429890305057,5,,
12,7,13,サムシングスイート,牝2,55.0,横山武,伊藤大,482(0),美浦,2023106219,1170,サートゥルナーリア  2016 黒鹿毛  [血統][産駒]  Mr. Prospector系,サムシングジャスト  2016 黒鹿毛  [血統][産駒]  FNo.[12-c],ヴィクトワールピサ  2007 黒鹿毛  [血統][産駒],0.07657457953367051,9,-0.24357619721852075,9,,
13,7,14,ノーブルホライズン,牡2,56.0,柴田大,粕谷,478(0),美浦,2023105986,1009,キセキ  2014 黒鹿毛  [血統][産駒]  Mr. Prospector系,ネイチャーガイド  2003 鹿毛  [血統][産駒]  FNo.[1-u],エルコンドルパサー  1995 黒鹿毛  [血統][産駒],0.20053000299124701,7,-0.1937497670979801,7,,
14,8,15,トゥスコラーナ,牝2,55.0,武豊,松永幹,442(0),栗東,2023106987,666,ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒]  Danzig系,グランデストラーダ  2016 鹿毛  [血統][産駒]  FNo.[4-d],ハーツクライ  2001 鹿毛  [血統][産駒],-0.35009695563200915,10,-0.4150855901789067,10,,
15,8,16,ファンクション,牝2,55.0,斎藤,斎藤誠,438(0),美浦,2023103648,1178,アルアイン  2014 鹿毛  [血統][産駒]  Halo系,アミカブルナンバー  2009 鹿毛  [血統][産駒]  FNo.[7-f],ダイワメジャー  2001 栗毛  [血統][産駒],0.29599946219880513,6,-0.15537385578112484,6,,
