,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ナダッコ,牡2,56.0,北村宏,中川,492(-4),美浦,2023102212,01043,ナダル  Nadal(米),パーソナルビリーフ,ヴィクトワールピサ,-2.222279066907951,15
1,2,2,イナズマダイモン,牡2,56.0,川田,宮田,520(+12),美浦,2023107158,01088,クリソベリル,パリスビキニ  Paris Bikini(米),Bernardini  (米),-0.6137431051627193,4
2,2,3,クルスデルスール,牡2,56.0,木幡育,松永康,460(-2),美浦,2023104564,01167,ベストウォーリア,アビシーナ  Abishena(愛),Pivotal,-1.3565225989423697,14
3,3,4,ベンテンカグラ,牝2,55.0,佐々木,勢司,462(-4),美浦,2023107419,01197,アドマイヤムーン,スガノグラスワン,グラスワンダー,-1.0573261315966187,12
4,3,5,シューティングガイ,牡2,56.0,戸崎圭,斎藤誠,486(-4),美浦,2023102659,05386,マジェスティックウォリアー  Majestic Warrior(米),キナウ,キングカメハメハ,-0.1397892645810582,1
5,4,6,シュガーシャック,牡2,56.0,マーカンド,古賀,486(+12),美浦,2023107066,05626,リアルスティール,スイートセント,ワークフォース  Workforce(英),-1.2264963047589537,13
6,4,7,セニング,牝2,55.0,内田博,深山,448(-4),美浦,2023102678,00422,ニューイヤーズデイ,エストリル,ジャスタウェイ,-0.6723690186365407,7
7,5,8,セントポールヒロ,牝2,53.0,△長浜,田島,474(-2),美浦,2023100863,01214,ストロングリターン,ファストソング,ヘクタープロテクター  Hector Protector(米),-0.661046301684584,6
8,5,9,ジーティーウンカイ,牡2,56.0,原,青木,480(+6),美浦,2023101630,01184,ルーラーシップ,ティーエスクライ,ハーツクライ,-0.795457644875014,9
9,6,10,トーセンエリオット,牡2,56.0,吉田豊,土田,454(+6),美浦,2023110005,00733,ハイランドリール  Highland Reel(愛),Tosen Gift,Lope de Vega,-0.8621718704693405,10
10,6,11,カレイジャスビート,牡2,56.0,Ｃデムーロ,高野,510(-4),栗東,2023107116,05473,リアルスティール,ティールグリーン,Scat Daddy (米),-0.7262005200204277,8
11,7,12,セイウンリメンバー,牡2,56.0,津村,千葉,474(0),美浦,2023100149,01092,ミッキーアイル,ビートゴーズオン,Curlin (米),-0.19496661227977247,3
12,7,13,ノーブルクロンヌ,牝2,55.0,団野,高柳瑞,446(-2),美浦,2023103657,01180,フィエールマン,ステファニーラン,スウェプトオーヴァーボード  Swept Overboard(米),-0.6424712663363825,5
13,8,14,フジコンフィデンス,牝2,55.0,木幡巧,牧,482(-4),美浦,2023101707,01162,ホッコータルマエ,オールエリザベス,パイロ  Pyro(米),-0.9405265256283104,11
14,8,15,ユイノサシガネ,牡2,56.0,木幡初,竹内,502(+16),美浦,2023100970,01153,アルアイン,ルアーズストリート,キングカメハメハ,-0.18878977772662794,2
