,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,バディーズライズ,牡2,56.0,原,小手川,460(+2),美浦,2023102072,1184,ダノンスマッシュ,シードオブハピネス,ゼンノロブロイ,-0.7009511660545354,11,-0.35539234624894567,11,,
1,2,2,マクリール,牡2,56.0,ルメール,手塚久,470(-4),美浦,2023106821,5339,ロードカナロア,アイリッシュシー  Irish Sea(愛),Galileo  (愛),-0.34840452039624487,10,-0.2654734648948925,10,,
2,3,3,サイオウガウマ,牝2,55.0,木幡初,本間,434(0),美浦,2023105848,1153,ウインブライト  2014 芦毛  [血統][産駒]  Halo系,アイルキャッチユー  2014 鹿毛  [血統][産駒]  FNo.[16-h],アイルハヴアナザー  I'll Have Another(米)  2009 栗毛  [血統][産駒],1.3024227754544169,1,0.1555787435992585,1,,
3,3,4,エビュレンス,牡2,56.0,木幡育,松永康,494(+2),美浦,2023103138,1167,ダノンスマッシュ  2015 鹿毛  [血統][産駒]  Mr. Prospector系,ダーリング  2015 青鹿毛  [血統][産駒]  FNo.[9-e],ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒],1.0265440099668421,2,0.0852144094395625,2,,
4,4,5,デルマノリクラ,牡2,53.0,▲佐藤,勢司,478(+6),美浦,2023101366,1207,レッドファルクス,デルマトモエゴゼン,キングカメハメハ,-2.3373882834583894,14,-0.7727742638344821,14,,
5,4,6,フィンガー,牡2,56.0,戸崎圭,田中博,542(-6),美浦,2023102813,5386,Gun Runner  (米),エスティロタレントーソ  Estilo Talentoso(米),Maclean's Music,-0.80262889649027,12,-0.38132578765874403,12,,
6,5,7,ノボリフジ,牡2,53.0,▲遠藤,伊藤伸,466(+2),美浦,2023106626,1218,ミッキーグローリー,アマレット,スウェプトオーヴァーボード  Swept Overboard(米),0.7717212688430629,4,0.020220525346185694,4,,
7,5,8,アミナス,牡2,56.0,柴田善,田中勝,524(+2),美浦,2023101479,641,モズアスコット,バーベードス  Barbados(仏),Dalakhani,-0.013328836905169778,9,-0.18001064458581567,9,,
8,6,9,ビーチイン,牝2,55.0,松若,和田勇,434(0),美浦,2023105830,1154,ダノンプレミアム  2015 青鹿毛  [血統][産駒]  Halo系,アグアアスール  2018 鹿毛  [血統][産駒]  FNo.[25],ロードカナロア  2008 鹿毛  [血統][産駒],0.8503779684707626,3,0.04028233143235064,3,,
9,6,10,アドマイヤウルトラ,牡2,56.0,マーカンド,宮田,502(+4),美浦,2023106836,5626,リオンディーズ,アドマイヤシーマ,ディープインパクト,0.3453335935378283,6,-0.08853190006694299,6,,
10,7,11,ケイツーリーブル,牝2,55.0,津村,千葉,456(+4),美浦,2023103628,1092,ジャスタウェイ,コマノサラサ,クロフネ,0.17529451545903102,8,-0.13190126374013952,8,,
11,7,12,ヤマメイッカ,牡2,56.0,佐々木,久保田,494(0),美浦,2023103360,1197,リアルスティール,オリオンムーン  Orion Moon(仏),Manduro  (独),0.2600140505032343,7,-0.11029309950477766,7,,
12,8,13,ブッチギレ,牡2,56.0,内田博,栗田,466(-2),美浦,2023104671,422,マジェスティックウォリアー  Majestic Warrior(米),クラシックス,キングヘイロー,-1.2271034092332775,13,-0.4895902508700974,13,,
13,8,14,シデレウス,牡2,56.0,石橋脩,南田,448(+14),美浦,2023100872,1077,サトノジェネシス,アルミューテン,スクリーンヒーロー,0.6980969303027101,5,0.0014422494967046666,5,,
