,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,レシプロシティ,牝5,56.0,斎藤,田村,468(-4),美浦,2020102862,01178,キズナ,サプレザ Sahpresa(米),Sahm,-1.9812620151898828,8
1,2,2,スズノテレサ,牝6,56.0,柴田大,深山,456(+4),美浦,2019104861,01009,ルーラーシップ,ピュアマインド,ティンバーカントリー Timber Country(米),-2.323783576667577,12
2,2,3,クロースコンバット,牡6,58.0,丹内,青木,498(+12),美浦,2019105188,01091,キンシャサノキセキ,ゲットクローサー,ワイルドラッシュ Wild Rush(米),-2.038126225392785,9
3,3,4,ドバイブルース,牡4,58.0,横山武,加藤征,504(+4),美浦,2021105182,01170,キンシャサノキセキ,Pirika (愛),Monsun,-1.2869561808511303,5
4,3,5,オンザライン,セ7,58.0,小崎,大和田,456(0),美浦,2018104646,01152,スクリーンヒーロー,ステラスターライト,ディープインパクト,-2.1500150553511395,10
5,4,6,ベルギューン,牝3,54.0,高杉,牧浦,482(-4),栗東,2022100098,01213,ナダル Nadal(米),ベルクリア,ヴァーミリアン,-1.8901729380533365,7
6,4,7,アレナパラシオ,牡4,58.0,富田,四位,476(-4),栗東,2021100752,01168,シニスターミニスター Sinister Minister(米),ルスナイプリンセス,ファスリエフ Fasliyev(米),-1.205278449670728,3
7,5,8,スペイドアン,牡4,58.0,横山和,加藤士,504(+6),美浦,2021103770,01140,カリフォルニアクローム California Chrome(米),ヘヴンリーウインド,ダイワメジャー,-3.150021341937348,15
8,5,9,スリリングチェイス,セ5,58.0,亀田,渡辺,496(-18),栗東,2020103407,01176,サトノアラジン,シンギングメリリー,Ghostzapper,-0.914795148624773,1
9,6,10,フランスゴデイナ,牡7,58.0,武豊,森秀,488(-2),栗東,2018110117,00666,ウィルテイクチャージ,Dreamy Blues,Curlin (米),-2.92882650110548,14
10,6,11,ゴッドブルービー,牡5,58.0,鮫島駿,角田,466(+6),栗東,2020106063,01157,パイロ Pyro(米),ゴッドビラブドミー,ブライアンズタイム Brian's Time(米),-2.2116677152866804,11
11,7,12,ポワンキュルミナン,牡5,58.0,菱田,岡田,428(-4),栗東,2020102955,01144,ロゴタイプ,ディオベルタ,フジキセキ,-2.7260739357453896,13
12,7,13,シェットランド,牡5,58.0,吉田隼,久保田,554(-10),美浦,2020103566,01095,リアルインパクト,フェイトカラー,サクラバクシンオー,-1.4414732433082977,6
13,8,14,ホウオウスーペリア,牡5,58.0,荻野極,吉岡,482(-2),栗東,2020103928,01160,スクリーンヒーロー,ビーコンターン Beacon Tarn(英),Shamardal,-1.24999409842073,4
14,8,15,ゴールドアローン,牝4,56.0,菊沢,青木,472(-4),美浦,2021106874,01161,ドレフォン Drefong(米),ゴールドアクション,ヘニーヒューズ Henny Hughes(米),-1.1632884982015945,2
