,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,エーティータキオン,牡5,56.0,△長浜,的場,436(-2),美浦,2020101677,01214,デクラレーションオブウォー,アドマイヤオウカ,シンボリクリスエス,0.011225588714038764,9
1,1,2,マックスキュー,牡3,57.0,レーン,鹿戸,484(+8),美浦,2022104639,05585,サートゥルナーリア,イストワールファム,ローエングリン,-0.7417096805468671,13
2,2,3,スリーピース,セ3,57.0,三浦,武井,462(+2),美浦,2022104972,01122,ミッキーアイル,ビバリーヒルズ,スニッツェル Snitzel(豪),0.2461144501699041,5
3,2,4,レゼールドラペ,セ3,57.0,津村,高柳瑞,436(+14),美浦,2022106398,01092,デクラレーションオブウォー,ヤヤラーラ,ゼンノロブロイ,0.0761557251430969,7
4,3,5,ブリックンクリック,セ3,57.0,田口,中舘,468(+6),美浦,2022105300,01208,ブリックスアンドモルタル Bricks and Mortar(米),クォリティシーズン,トワイニング Twining(米),-1.2484997561224704,16
5,3,6,アルニラム,牡4,58.0,内田博,伊藤大,482(+10),美浦,2021109088,00422,リアルスティール,エレンシア,ワークフォース Workforce(英),0.07290745046663519,8
6,4,7,サンタアニタ,牝3,55.0,戸崎圭,斎藤誠,484(+6),美浦,2022103594,05386,ナダル Nadal(米),ワンスインナムーン,アドマイヤムーン,-1.1627484116545663,15
7,4,8,クラウンウルル,牡3,54.0,▲遠藤,菊川,476(+6),美浦,2022101278,01218,レッドファルクス,クラウンシトラス,スニッツェル Snitzel(豪),-0.396875364716607,11
8,5,9,リッキースタイル,牡3,57.0,菅原明,水野,472(0),美浦,2022103577,01179,ジャスタウェイ,ラズールリッキー,スタチューオブリバティ Statue of Liberty(米),0.7929212106185047,3
9,5,10,キミハスコール,牡4,58.0,プーシャン,加藤征,456(-2),美浦,2021104313,05678,コパノリッキー,テツナゴオ,ハーツクライ,0.8597772824660636,2
10,6,11,クニノハッピー,牡3,57.0,Ｃデムーロ,田中剛,478(0),美浦,2022105990,05473,ヘニーヒューズ Henny Hughes(米),ルミナスハッピー,アグネスタキオン,0.6541648880880451,4
11,6,12,キョウエイスレーヴ,牡3,57.0,原,萱野,454(+8),美浦,2022103472,01184,ルヴァンスレーヴ,ロマネクイーン,マイネルラヴ,-0.21798103409955147,10
12,7,13,スプリンクルソルト,牡4,58.0,杉原,栗田,470(0),美浦,2021106591,01135,ニューイヤーズデイ,ジョリーダンス,ダンスインザダーク,-1.160410404767029,14
13,7,14,セイゲン,セ6,58.0,木幡巧,中川,462(+6),美浦,2019100234,01162,エスポワールシチー,ヘイブンズギフト,クロフネ,0.947324888882231,1
14,8,15,タリスマン,牡4,58.0,伊藤,金成,466(-4),美浦,2021104618,01119,タリスマニック Talismanic(英),クロエチャン,スパイキュール,-0.39803807557448956,12
15,8,16,シルバードン,牡3,57.0,石橋脩,牧,480(0),美浦,2022101987,01077,アルバート,シルバージェニー,Lantana Mob,0.10449123458121828,6
