,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ゴールデンオスカー,牡5,55.0,松若風馬,堀内,496(-10),美浦,2021101235,01154,スクリーンヒーロー,バラベルサイユ,アグネスデジタル,-2.730778333962019,14
1,1,2,クロニクル,セ7,56.0,菱田,平岩,516(0),美浦,2019101864,01144,ハーツクライ,アーキオロジー,Seeking the Gold,-0.3849918859441459,3
2,2,3,ナッカーフェイス,牡7,54.0,秋山稔,北出,454(-16),栗東,2019100110,01181,シニスターミニスター,ジュンユーミン,キングカメハメハ,-1.3414950832269223,7
3,2,4,レイズカイザー,セ6,55.0,吉村,田村,530(-4),美浦,2020100583,01216,ヘニーヒューズ,バイカターキン,エンパイアメーカー,0.7412575122155037,1
4,3,5,ハクサンアイリス,牡4,56.0,岩田望,高橋一,490(+6),栗東,2022100328,01174,ハクサンムーン,キャメロンロード,デュランダル,-2.725914928273707,13
5,3,6,ルシフェル,牝5,54.0,松山,西園翔,516(+2),栗東,2021105379,01126,ハーツクライ,アルアリングスター,Exchange Rate,-2.6780221544992853,12
6,4,7,ゴッドブルービー,牡6,57.0,角田和,角田,470(-8),栗東,2020106063,01186,パイロ,ゴッドビラブドミー,ブライアンズタイム,-2.147376986934227,10
7,4,8,サンダーバース,セ5,54.0,幸,井上,474(+2),栗東,2021103582,00732,サンダースノー,エヴォリューション,リキアイサイレンス,-2.3571156893459975,11
8,5,9,ゲキザル,牡7,56.0,小林脩,青木,482(-4),美浦,2019102102,01183,ザファクター,トゥモローズライト,アフリート,-3.2014653599233167,15
9,5,10,スニーカースキル,牝4,54.0,鮫島駿,杉山晴,498(0),栗東,2022105964,01157,キズナ,ストリートバンド,Istan,-1.0880084313488017,6
10,6,11,テイエムヒショウ,牡6,54.0,川須,浜田,510(0),栗東,2020101216,01128,ヘニーヒューズ,マヤノマヤ,タイキシャトル,-2.0033603078762328,8
11,6,12,トラペジスト,牡5,56.0,北村友,秋山,552(+6),栗東,2021104928,01102,ニューイヤーズデイ,ルシルク,Dynaformer,-0.9809456325035313,5
12,7,13,ハワイアンタイム,セ6,56.0,太宰,昆,498(-2),栗東,2020101808,01037,ロードカナロア,ザマンダ,コマンズ,-0.9164280752394607,4
13,7,14,マッシャーブルム,牡5,57.0,高倉,前川,530(+10),栗東,2021106157,01130,モーニン,アサカラヴァーズ,キングヘイロー,-2.03779611854818,9
14,8,15,テーオールビー,牝5,53.0,藤懸,宮,462(+2),栗東,2021109027,01138,サンダースノー,レディロックバンド,マンハッタンカフェ,0.29818005139112586,2
15,8,16,ヤマニンアストロン,牡5,56.0,武豊,石橋,502(0),栗東,2021106594,00666,ディーマジェスティ,ヤマニンアタシャン,フレンチデピュティ,-3.2622673619209754,16
