,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,メイショウソウセキ,牡4,59.0,難波,松永幹,518(+8),栗東,2022103255,01066,マジェスティックウォリアー,メイショウコブシ,スペシャルウィーク
1,2,2,クレプスクルム,牡4,59.0,五十嵐,上原博,462(+8),美浦,2022102784,01069,リアルスティール,ラッタッタ,ローズキングダム
2,3,3,ピスタ,セ4,59.0,小坂,藤原,528(-8),栗東,2022105488,01063,ブリックスアンドモルタル,ブルーミングアレー,シンボリクリスエス
3,3,4,ヴェルトラウム,セ5,60.0,大江圭,西田,450(-4),美浦,2021104903,01120,ミッキーロケット,ヒルダ,ダイワメジャー
4,4,5,コレペティトール,セ6,57.0,▲井上,中竹,476(-2),栗東,2020103043,01151,ジャスタウェイ,ベガスナイト,コロナドズクエスト
5,4,6,イーサンバーニング,牡7,60.0,田村,藤野,522(-4),栗東,2019104192,01105,ホッコータルマエ,ターキッシュブルー,カリズマティック
6,5,7,モズナイスバディー,牡5,60.0,森一,飯田,498(0),栗東,2021102845,01139,マジェスティックウォリアー,モズラコルタ,ヴィクトワールピサ
7,5,8,メイショウカゼマチ,牡6,60.0,黒岩,角田,468(-2),栗東,2020106534,01072,ミッキーアイル,メイショウマイカゼ,メイショウボーラー
8,6,9,フォルガイル,牡5,57.0,▲水沼,加藤和,444(-8),美浦,2021101164,01201,レイデオロ,アディクション,ハーツクライ
9,6,10,サングラデーション,セ6,60.0,上野,千葉,418(-10),美浦,2020102864,01087,ドゥラメンテ,サンシャイン,ハーツクライ
10,7,11,キャネル,牡5,57.0,▲坂口,手塚久,498(-6),美浦,2021105885,01211,ブリックスアンドモルタル,レッドラヴィータ,スペシャルウィーク
11,7,12,グランジョルノ,牡4,59.0,伴,高柳瑞,492(+8),美浦,2022104673,01149,ゴールドドリーム,ヴィータアレグリア,ネオユニヴァース
12,8,13,ランフォースマイル,牝4,57.0,中村,秋本,464(+12),美浦,2022104130,01101,サトノダイヤモンド,サンキュースマイル,ブライアンズタイム
13,8,14,イデアユウシン,牡6,60.0,草野,松永康,538(-2),美浦,2020106549,01113,ドレフォン,コウヨウマリア,ダンスインザダーク
