,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ディーエスショウマ,牡3,57.0,中井,橋口,462(0),栗東,2022100226,01141,ディスクリートキャット  Discreet Cat(米)  ,ティアップアーリー  ,ゴールドアリュール  ,0.209288226311924,4
1,1,2,インテンソ,セ5,58.0,永島,松永幹,492(+10),栗東,2020103636,01187,ドゥラメンテ  ,ミスセレンディピティ  ,Not For Sale  ,-5.406426082183704,17
2,2,3,ヴェナートル,牡3,57.0,武藤,武藤,494(+2),美浦,2022101469,01169,アルアイン  ,ロンドンシーズン  ,ロードカナロア  ,-4.790545739714628,15
3,2,4,ゼットカレン,牝5,56.0,富田,宮,484(-6),栗東,2020104751,01168,シャンハイボビー  Shanghai Bobby(米)  ,ゼットフーリ  ,ワークフォース  Workforce(英)  ,-4.949796292047491,16
4,3,5,ブルボンクイーン,牝4,56.0,松本,角田,490(+8),栗東,2021100297,01191,キズナ  ,セレブラール  ,ボストンハーバー  Boston Harbor(米)  ,-3.5217281392410573,12
5,3,6,ジェイエルバルカー,牡5,58.0,小林凌,小西,504(+10),美浦,2020100131,01177,マジェスティックウォリアー  Majestic Warrior(米)  ,ホウライマリーン  ,サウスヴィグラス  ,-6.081664223397574,18
6,4,7,ベイビーキッス,牝3,55.0,菊沢,青木,454(+8),美浦,2022102514,01161,サンダースノー  Thunder Snow(愛)  ,タイキエイワン  ,フサイチコンコルド  ,-2.026061038934761,9
7,4,8,イスラコラソン,牝3,55.0,今村,大和田,438(-6),美浦,2022105445,01193,イスラボニータ  ,ハートシェイプト  Heart Shaped(米)  ,Storm Cat  (米)  ,-4.4098418670811474,14
8,5,9,ゼンダンタカ,牝3,55.0,江田照,田村,436(+6),美浦,2022106187,00689,アジアエクスプレス  ,キョウワヒラリー  ,ダイワメジャー  ,-1.2745756612893278,8
9,5,10,ジャスパーディビネ,牡3,57.0,和田陽,森秀,522(+6),栗東,2022110112,01223,Frosted  (米)  ,Rocket Reload  ,Reload  ,-3.147378296750665,11
10,6,11,ラトルシェ,牝3,55.0,吉田隼,菊川,470(+4),美浦,2022104190,01095,ミッキーアイル  ,レーヴドフィユ  Reve de Fille(米)  ,Storm Cat  (米)  ,-2.9789115767161563,10
11,6,12,カイザーブリッツ,セ5,58.0,野中,伊藤圭,482(+18),美浦,2020106384,01158,ロードカナロア  ,エルパンドール  ,ネオユニヴァース  ,-3.7587710718362146,13
12,7,13,ソレントフレイバー,牡6,58.0,亀田,久保田,498(+24),美浦,2019106503,01176,キタサンブラック  ,ポワティエ  ,Le Havre  ,-0.5692856496066528,7
13,7,14,ハッピーデービー,牝4,56.0,横山琉,鈴木伸,462(+4),美浦,2021103971,01192,エピファネイア  ,ハッピーノリチャン  ,サクラバクシンオー  ,0.11681883412776428,5
14,7,15,ルーラルハピネス,牝5,56.0,杉原,伊藤大,470(-6),美浦,2020101052,01135,ファインニードル  ,ナムラバイオレット  ,チーフベアハート  Chief Bearhart(加)  ,3.492863750306922,1
15,8,16,ニジュウダンサー,牝5,56.0,黛,尾関,476(+8),美浦,2020102439,01109,ミッキーアイル  ,カクタスペア  ,Lion Heart  ,-0.5060067069170222,6
16,8,17,ミルフルール,牝4,56.0,斎藤,伊坂,476(-12),美浦,2021100614,01178,ホッコータルマエ  ,デイジーギャル  ,ブラックタイド  ,1.2701286525390232,2
17,8,18,ニシノトキメキ,牝5,56.0,河原田,小手川,504(+10),美浦,2020100236,01204,リアルスティール  ,レッドアシェット  ,ダイワメジャー  ,0.8530925583653902,3
