,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,テンカムテキ,牡3,55.0,丹内,林,508(+6),美浦,2023104927,1091,ナダル,スズカグラーテ,サウスヴィグラス,-0.7078086140691274,11,-0.4440160350065518,11,,
1,1,2,トーホウキザン,牡6,58.0,藤懸,高橋康,486(+2),栗東,2020101764,1138,トーホウジャッカル,トーホウドルチェ,サウスヴィグラス,-0.8567670149429266,14,-0.4869929678728684,14,,
2,2,3,エンファサイズ,牡6,58.0,長浜,小笠,450(0),美浦,2020103007,1214,リアルスティール,ファビュラスセンス,グラスワンダー,0.885356625546325,1,0.01563817144475973,1,,
3,2,4,フィーチャリング,セ4,58.0,原,和田郎,460(+2),美浦,2022105824,1184,ヘニーヒューズ,バウンシーチューン,ステイゴールド,0.5720175930553627,2,-0.07476525988080658,2,,
4,3,5,コパノエビータ,牝5,56.0,嶋田,手塚久,434(0),美浦,2021102219,1134,ダノンレジェンド,コパノビジン,ゴールドアリュール,-0.48163476215946227,9,-0.3787611826946427,9,,
5,3,6,トラヴェリンバンド,牡4,58.0,ゴンサルベ,西村,456(-6),栗東,2022104009,5675,シニスターミニスター,コテキタイ,サウスヴィグラス,-0.7702237913148393,12,-0.46202383360396565,12,,
6,4,7,グレイスザクラウン,セ4,58.0,木幡巧,上原博,510(-2),美浦,2022105776,1162,リーチザクラウン,キトゥンズグレイス,Kitten's Joy,0.5013505071566193,3,-0.09515386897376797,3,,
7,4,8,セントラルヴァレー,セ5,58.0,岩田望,栗田,482(0),美浦,2021110161,1174,Kantharos,Indigo Gin,Lemon Drop Kid,0.0769297832006296,6,-0.21760618353629904,6,,
8,5,9,アースイオス,牡5,58.0,小林脩,手塚徳,524(-8),美浦,2021102555,1183,ジャスタウェイ,アースマリン,マリエンバード,0.14567542477605583,5,-0.19777194253003277,5,,
9,5,10,マクリール,牡3,55.0,ルメール,手塚久,464(-6),美浦,2023106821,5339,ロードカナロア,アイリッシュシー,Galileo,-0.8183704374185329,13,-0.4759149277966981,13,,
10,6,11,ホウキボシ,セ6,58.0,松山,堀,504(-8),美浦,2020110058,1126,Zoustar,La Collina,Strategic Prince,-1.2896421759787497,16,-0.6118845256917119,16,,
11,6,12,パイシャオピン,牝4,56.0,横山武,鈴木伸,470(+2),美浦,2022103371,1170,ホッコータルマエ,パイクーニャン,フレンチデピュティ,-0.629627583460692,10,-0.4214595300751863,10,,
12,7,13,ベラジオワールド,牡4,57.0,横山和,伊藤大,494(0),美浦,2022110130,1140,Exceedance,Beechal,Lonhro,-0.26122510057324855,8,-0.31516939348697254,8,,
13,7,14,リベッチオ,牡3,55.0,戸崎圭,杉山晴,492(0),栗東,2023107082,5386,ルヴァンスレーヴ,スーブレット,ゴールドアリュール,-0.21863349704619578,7,-0.30288101985572147,7,,
14,8,15,アスゴッド,牡4,58.0,高杉,矢作,500(-6),栗東,2022103704,1213,モズアスコット,ゴッドフロアー,ハーツクライ,-0.9087825472508686,15,-0.5020002989592036,15,,
15,8,16,ヘリオトロープ,牡4,58.0,レーン,大竹,478(0),美浦,2022105198,5585,ヘニーヒューズ,ワンミリオンス,ゴールドアリュール,0.47251591880525967,4,-0.10347311891559673,4,,
