,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ビルバンテ,牡3,55.0,佐々木,蛯名正,490(+2),美浦,2023103552,1197,マインドユアビスケッツ,マイレリーフ,ルーラーシップ,-0.64224999075782,11,-0.3577699796041377,3,,5,55.3,51.4,52.4,5
1,1,2,メーゼ,牝3,53.0,菊沢,菊沢,446(+16),美浦,2023106176,1161,Disco Partner,マーケットレガシー,Gio Ponti,0.912352191982754,3,0.0193061766315885,8,,3,50.0,53.7,52.5,4
2,2,3,カフェブーケット,牡4,55.0,▲石神道,柄崎,480(-4),美浦,2022103235,1209,フォーウィールドライブ,フィオーレカフェ,アイルハヴアナザー,0.2764933897829031,5,-0.1349244012642255,11,,11,42.8,45.2,44.6,11
3,2,4,タイキブリッツェン,牡3,55.0,三浦,伊藤圭,494(-2),美浦,2023102181,1122,モズアスコット,ネフェルティティ,ゴールドアリュール,-2.780098618405255,16,-0.8763153361441659,9,,2,49.3,54.5,49.5,6
4,3,5,エスシーレイジュ,牝3,53.0,大野,松山,452(-2),美浦,2023104309,1096,シャンハイボビー,チュロ,キングヘイロー,-0.0176478212176642,7,-0.2062697515190981,10,,10,45.8,45.8,46.2,10
5,3,6,リッチハンター,牡6,55.0,▲石田,本間,500(0),美浦,2020100555,1203,ホッコータルマエ,トモトモリバー,ブラックタイド,-0.4152507401245762,9,-0.3027102312984467,14,,16,41.0,43.6,42.4,14
6,4,7,パータリプトラ,セ3,55.0,高杉,武井,472(-4),美浦,2023103263,1213,アメリカンペイトリオット,カフェローレル,マンハッタンカフェ,-0.3417000382869448,8,-0.2848701586127889,5,,14,54.6,44.0,48.8,7
7,4,8,ベアハンドキャッチ,牡3,55.0,荻野極,池上,490(0),美浦,2023107400,1160,ミスターメロディ,ディアルーモ,ネオユニヴァース,-0.6282005074784037,10,-0.3543622105871399,6,,8,52.9,46.7,47.5,9
8,5,9,フォースミラクル,牡4,58.0,岩田望,加藤征,454(0),美浦,2022105242,1174,ジャスタウェイ,ヴィクトリアマンボ,ヴィクトワールピサ,-1.6221338230374034,14,-0.5954454654201624,1,,4,78.8,53.6,56.0,3
9,5,10,サイモンカーチス,牡7,55.0,▲上里,的場,500(+4),美浦,2019102320,1217,コパノリッキー,サイモンドルチェ,ジャングルポケット,0.1939066075258319,6,-0.1549562182493751,12,,13,41.2,44.0,42.3,16
10,6,11,ピクラリーダ,牝5,56.0,木幡巧,清水英,456(+2),美浦,2021106347,1162,ブラックタイド,ハイフリート,アフリート,1.414764246339867,1,0.1411686108972487,15,,15,40.7,43.7,42.4,15
11,6,12,モティスフォント,牡4,58.0,杉原,田村,494(-2),美浦,2022104953,1135,モーリス,バンゴール,キングカメハメハ,-0.7940850948434742,12,-0.3945983065329853,7,,12,52.0,44.7,47.8,8
12,7,13,ジャスフォール,牡3,55.0,石橋脩,上原佑,492(-2),美浦,2023101792,1077,マクフィ,プロディジャス,ハーツクライ,-1.6838645078882737,15,-0.6104185367459277,13,,9,41.0,46.6,42.5,12
13,7,14,シュヴァルツシルト,牡3,52.0,▲小林美,田島,480(+2),美浦,2023100359,1206,ミスチヴィアスアレックス,パワフルノンコ,ワークフォース,1.1313770300124584,2,0.0724316932179599,4,,1,54.9,84.7,81.1,1
14,8,15,ガンバレベアー,牝4,56.0,松岡,杉浦,476(-8),美浦,2022101141,1085,サトノアラジン,サンマルリトリート,ハードスパン,-0.892698248872764,13,-0.4185173962451161,16,,7,40.2,48.2,42.4,13
15,8,16,ブリックンクリック,セ4,58.0,津村,中舘,464(-4),美浦,2022105300,1092,ブリックスアンドモルタル,クォリティシーズン,トワイニング,0.4522247598220083,4,-0.0922999213297073,2,,6,59.5,49.6,61.7,2
