,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,レッドフレーザー,牡3,57.0,松若,矢作,498(+4),23.7,7,栗東,2023105340,01154,ドレフォン,ラーゴブルー,ハーツクライ,-0.18869970159840163,6,-0.7053846348012928,13,-0.5706458488850727,9,0.051818937645876036,4,0.07189323990679942,0.032988098943302596
1,1,2,アルヴァルディ,牡3,54.0,▲川端,柴田,508(0),158.6,14,栗東,2023106908,01195,ポエティックフレア,ヴェルザンディ,アグネスタキオン,-0.588971791395358,13,-0.2949255284753371,8,-0.40265123071270686,5,-0.1754834264106709,10,0.057275896197122436,0.004929495239320754
2,2,3,タイセイゼスティ,牡3,57.0,横山武,奥村豊,498(-4),14.7,4,栗東,2023100969,01170,デクラレーションオブウォー,リンネ,ワイルドラッシュ,0.03482358674726885,4,-0.3244867538221774,9,-0.9736973194843278,12,0.10113887734952277,2,0.07552790414086445,0.05318489421471236
3,2,4,スパルタンエックス,牡3,57.0,富田,東田,474(+2),4.5,3,栗東,2023100371,01168,ダノンプレミアム,スリールドランジュ,ゼンノロブロイ,1.0595951287743868,3,-0.9025288335367928,16,-0.4702269843984837,6,-0.06083222280697897,6,0.06423389809673445,0.1737373211013937
4,3,5,アイゼンハイム,牡3,57.0,コレット,辻野,440(+2),71.4,10,栗東,2023100020,05691,サートゥルナーリア,ベラルーナ,ディープインパクト,-0.3672595916962568,8,0.14953665295409796,1,-0.999433226481066,13,0.09270949478608692,3,0.07489392631736193,0.010949831161852544
5,3,6,アラムシャピラス,牡3,57.0,川田,池江,492(+2),3.6,2,栗東,2023105683,01088,シスキン,マローブルー,ディープインパクト,1.6508140573866172,2,-0.7726631038860355,15,-1.3340593274013919,16,0.20547249067631845,1,0.083833760188418,0.21717165137674213
6,4,7,サンライズフリード,牡3,57.0,団野,小林,518(-2),35.6,8,栗東,2023100902,01180,ダノンスマッシュ,アルバリズム,ダイワメジャー,-0.4973881297953273,9,-0.037278592182474174,4,-0.5432200714436083,8,-0.3111679106315016,16,0.050008620034639926,0.021961178229108754
7,4,8,ハオカノア,牡3,57.0,小崎,小崎,482(+4),68.2,9,栗東,2023106078,01152,ディープブリランテ,カノア,キングカメハメハ,-0.5243349243732123,10,0.10575810294963468,2,-1.0302637662622394,14,-0.169264574789456,9,0.05763319634382121,0.011463606231030375
8,5,9,グランセンチュリ,牡3,57.0,中井,庄野,476(0),134.3,11,栗東,2023101990,01141,パイロ,グランシュクレ,サムライハート,-0.5934072117247382,14,-0.7175289784702259,14,-0.4767605609708798,7,-0.19960091857139953,14,0.055911069472542325,0.0058214292252886934
9,5,10,ビーウィナー,牡3,57.0,秋山稔,羽月,540(-8),151.8,13,栗東,2023106022,01181,ビッグアーサー,ビーウィッチド,ハービンジャー,-0.5988318535860387,15,-0.284414381903206,7,-0.01889061735644524,1,-0.1979433645023084,13,0.05600382194313496,0.00515031584292669
10,6,11,ジーティーピカソ,牡3,57.0,西村淳,宮地,534(+6),17.3,5,栗東,2023102092,01171,ヴァンゴッホ,プレインズウーマン,Zensational,-0.14665175526819652,5,-0.15845732515786623,5,-0.04913774635968993,2,-0.06178712135648047,7,0.06417259051653126,0.045191788725796045
11,6,12,メイショウヒタカミ,牡3,57.0,角田和,石橋,450(0),21.5,6,栗東,2023102245,01186,フィエールマン,メイショウラッシュ,ケイムホーム,-0.30433341720877344,7,-0.4384017828916227,10,-0.09872758527120598,3,-0.19463955694658655,12,0.05618915377499626,0.03636362534680333
12,7,13,エイシンリブウェル,牡3,57.0,松山,大久保,478(-2),2.1,1,栗東,2023105508,01126,スクリーンヒーロー,エイシンミノアカ,キングカメハメハ,2.862910293407397,1,-0.5759859527098051,12,-1.207707371935717,15,-0.16392710154940093,8,0.0579416343947191,0.37229425950298645
13,7,14,リリークリスタル,牝3,55.0,国分恭,緒方,456(-6),433.9,15,栗東,2023105699,01124,クリソベリル,ワンサイドゲーム,ウォーエンブレム,-0.528217681802642,11,-0.4384266514830048,11,-0.2580782034428309,4,-0.020448466591128492,5,0.06688099428062151,0.0018018390065827879
14,8,15,ピースビート,牡3,57.0,長岡,中村,478(+4),533.5,16,栗東,2023103098,01142,アメリカンペイトリオット,メジャータイフーン,ダイワメジャー,-0.682590118233276,16,0.03193557804580973,3,-0.928764609397995,11,-0.29628217497997916,15,0.05075860331045603,0.0014654506934513058
15,8,16,サクライロマウコロ,牝3,55.0,田口,小椋,446(-2),141.5,12,栗東,2023103406,01208,クリソベリル,サツマキリコ,エンパイアメーカー,-0.5874568896334482,12,-0.2703189102705296,6,-0.7035473075343844,10,-0.18309324750167513,11,0.05684169108123671,0.005525215158701567
