,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ルクスマーベリック,セ5,60.0,金子,大和田,452(+2),55.7,8,美浦,2021104105,01052,エピファネイア,サトノアイリ,ステイゴールド
1,2,2,アップストローク,セ7,60.0,草野,杉浦,456(-8),4.7,3,美浦,2019104675,01113,ディーマジェスティ,エマソング,Unbridled's Song
2,3,3,ヴィーデ,セ4,60.0,上野,戸田,472(+6),71.1,11,美浦,2022100548,01087,ルヴァンスレーヴ,ピアノボレロ,ダンスインザダーク
3,4,4,アレナリア,牝7,58.0,小牧加,藤野,442(0),7.4,4,栗東,2019105824,01196,ブラックタイド,リトルビスケット,タニノギムレット
4,4,5,メイショウソウセキ,牡4,60.0,難波,松永幹,504(-2),2.3,1,栗東,2022103255,01066,マジェスティックウォリアー,メイショウコブシ,スペシャルウィーク
5,5,6,ナヴァラトゥナ,牡4,58.0,△坂口,手塚徳,440(-2),14.7,5,美浦,2022105072,01211,フィエールマン,ミスセレンディピティ,Not For Sale
6,5,7,スラッシュ,牡3,58.0,中村,安達,468(-2),145.2,13,栗東,2023103189,01101,フィレンツェファイア,テンザンオトヒメ,フジキセキ
7,6,8,ヴォンヌヴォー,牝6,58.0,伴,天間,466(+4),65.5,10,美浦,2020106585,01149,ドレフォン,ヴェイルオブクララ,ゼンノロブロイ
8,6,9,ナスノソナタ,牡4,57.0,▲水沼,武井,488(-2),78.7,12,美浦,2022106544,01201,レイデオロ,ナスノシンフォニー,ハーツクライ
9,7,10,ヨシノヤッタルデー,牡5,60.0,黒岩,中竹,464(-2),60.0,9,栗東,2021102336,01072,ファインニードル,ナムラバイオレット,チーフベアハート
10,7,11,クリアクォーツ,牡4,60.0,大江圭,的場,478(0),29.5,7,美浦,2022101587,01120,タワーオブロンドン,クリアソウル,アグネスデジタル
11,8,12,オリンポスカズマ,牡6,60.0,小坂,平田,512(-22),16.5,6,栗東,2020102013,01063,ヴィクトワールピサ,サクラサクラサクラ,アッミラーレ
12,8,13,アナザーエース,牡6,60.0,五十嵐雄祐,宮,516(-12),4.2,2,栗東,2020104005,01069,ヤマカツエース,ホットフレイバー,タバスコキャット
