,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,オースミサイファー,牡3,57.0,国分恭,宮本,474(0),栗東,2023105634,1124,タワーオブロンドン,ナリタスカイ,ディープインパクト,-1.178040610500244,17,-0.4387361471643995,9,,8,49.0,45.3,47.6,8
1,1,2,サンマルマニック,牝3,55.0,藤懸,千田,392(+2),栗東,2023107495,1138,タリスマニック,マリア,ディープインパクト,-0.5549064047317003,15,-0.237957692196563,14,,18,41.7,43.5,43.0,14
2,2,3,ジュエルブリス,牝3,55.0,鮫島駿,宮地,448(+2),栗東,2023100096,1157,ダノンスマッシュ,ジェンメオ,ディープブリランテ,-0.1056021715449475,9,-0.0931885414829004,2,,4,57.4,58.9,55.8,3
3,2,4,タイガーロード,牡3,57.0,酒井,大橋,466(+4),栗東,2023102989,1034,フォーウィールドライブ,アビイロード,ストリートセンス,0.918759596569774,3,0.2368684048799328,7,,13,50.9,44.4,50.4,7
4,3,5,タナブイハチターボ,牡3,57.0,幸英明,大根田,502(-2),栗東,2023103861,732,イスラボニータ,ラブリーアモン,ソングオブウインド,-0.6009664810620159,16,-0.2527985898325635,1,,1,82.7,81.4,63.3,2
5,3,6,リアンマヒナ,牡3,57.0,岩田望,高橋一,440(+2),栗東,2023104430,1174,モズアスコット,アージオン,ロードカナロア,-0.5041740424967597,13,-0.2216113494471113,3,,7,56.6,46.9,52.4,4
6,4,7,シルヴァークラウン,牝3,55.0,国分優,秋山,404(+4),栗東,2023103428,1125,ジャスタウェイ,シルヴァーカップ,Almutawakel,0.210180381001353,7,0.0085589350945544,16,,9,41.6,45.2,43.0,17
7,4,8,レッドアイスピア,牡3,57.0,角田和,中竹,454(-4),栗東,2023105670,1186,リオンディーズ,アマルフィターナ,シンボリクリスエス,0.5204148259894738,4,0.1085187703369411,13,,12,42.6,44.5,43.3,13
8,5,9,アスターリコッタ,牝3,55.0,菱田,中竹,416(-2),栗東,2023105666,1144,ミッキーアイル,アスターヒューモア,More Than Ready,1.022566370796003,1,0.2703157161515579,15,,17,41.6,43.6,43.0,15
9,5,10,ハイラブエナン,牝3,52.0,▲川端,谷,484(+14),栗東,2023101780,1195,ウォータービルド,ニュードラゴン,アンライバルド,0.3784499140744867,6,0.0627766245679069,18,,11,41.6,44.7,43.0,18
10,6,11,アラビアンジョイ,牝3,55.0,吉村,高橋一,432(+2),栗東,2023102939,1216,サトノアラジン,ブリングミージョイ,ドゥラメンテ,-0.1056021715449475,9,-0.0931885414829004,10,,5,48.2,52.4,47.2,10
11,6,12,ニキータ,牝3,55.0,Ｍデムーロ,千田,442(+2),栗東,2023101879,5212,ベンバトル,ナンヨーサフラウア,アグネスタキオン,0.4648400382266177,5,0.09061216222765,8,,16,49.2,43.8,47.4,9
12,7,13,ゴッドアイ,牝3,55.0,松山,橋口,426(+4),栗東,2023105352,1126,コントレイル,ジェルミナーレ,アドマイヤムーン,-0.1301340026595389,11,-0.1010928791089255,4,,6,55.7,49.4,51.9,5
13,7,14,ラガーダブルエイト,牝3,55.0,荻野琢,池添,482(0),栗東,2023100338,1112,アジアエクスプレス,ラガーデリゲート,ロードカナロア,-0.1583788832597863,12,-0.1101935887717411,17,,10,41.6,44.8,43.0,16
14,7,15,ダノンプレリュード,牝3,55.0,団野,矢作,466(-4),栗東,2023107239,1180,キタサンブラック,マハゴニー,Storm Embrujado,0.0688812410477831,8,-0.0369686940189394,12,,14,44.3,44.3,44.5,12
15,8,16,ロングジーニアス,牝3,55.0,松若,高橋亮,396(-6),栗東,2023103159,1154,ベンバトル,ジニアスミノル,ディープインパクト,0.9946077930701696,2,0.2613072553947493,11,,15,46.3,43.9,46.0,11
16,8,17,サトノフレイ,牡3,57.0,川田,友道,476(0),栗東,2023103726,1088,サートゥルナーリア,リトルゲルダ,Closing Argument,-0.5328056332518005,14,-0.2308366599851172,6,,3,53.9,61.5,51.8,6
17,8,18,バルフルール,牝3,55.0,北村友,長谷川,492(0),栗東,2023106909,1102,Saxon Warrior,ヴォーセル,Le Havre,-1.34106257628536,18,-0.4912630316030187,5,,2,55.3,61.6,83.5,1
