,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ヴォルスター,牡5,60.0,黒岩,清水久,436(-14),栗東,2021100677,01072,シニスターミニスター,ヴォルカン,ロードカナロア
1,2,2,ファイツオン,牡5,60.0,小牧加,藤岡健,518(+12),栗東,2021100476,01196,アルアイン,ソラコマチ,サクラバクシンオー
2,3,3,ノブダブルホワイト,牡4,59.0,江田勇,松永康,442(+22),美浦,2022101614,01023,バゴ,ステルス,ディープインパクト
3,3,4,アップストローク,セ7,60.0,草野,杉浦,478(+10),美浦,2019104675,01113,ディーマジェスティ,エマソング,Unbridled's Song
4,4,5,ニシノインヴィクタ,牡5,57.0,▲水沼,本間,512(-8),美浦,2021100190,01201,ブリックスアンドモルタル,ニシノミストレス,ルーラーシップ
5,4,6,オリンポスカズマ,牡6,60.0,小坂,平田,534(-8),栗東,2020102013,01063,ヴィクトワールピサ,サクラサクラサクラ,アッミラーレ
6,5,7,サトノエピック,牡5,60.0,上野,奥村武,536(+4),美浦,2021105271,01087,キタサンブラック,ランドオーバーシー,Bellamy Road
7,5,8,ノーブルクライ,牡6,60.0,五十嵐,田村,508(+2),美浦,2020102976,01069,ハーツクライ,ノーブルジュエリー,Smarty Jones
8,6,9,サミアド,牡5,60.0,大江圭,竹内,514(+6),美浦,2021109086,01120,シャンハイボビー,エイシンバンバ,Rock Hard Ten
9,6,10,メイショウトム,牡5,60.0,難波,谷,494(-2),栗東,2021110065,01066,パレスマリス,Nothing But Tom,Street Cry
10,7,11,ビジューブリランテ,セ8,57.0,▲坂口,浅利,496(-2),美浦,2018105199,01211,ディープブリランテ,ビジュートウショウ,ディープスカイ
11,7,12,シークレットキー,牡5,57.0,▲鷲頭,井上,504(-6),栗東,2021105489,01202,ドレフォン,キープシークレット,ダイワメジャー
12,8,13,メイショウコガシラ,牡6,60.0,中村,本田,510(0),栗東,2020100979,01101,メイショウボーラー,マイラッキー,Elusive Quality
13,8,14,ディベルティスマン,牡4,59.0,伴,菊沢,520(-4),美浦,2022104000,01149,キズナ,レディオブキャメロット,モンジュー
