,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ヴィオレンツァ,牡3,57.0,小沢,福永,栗東,2022103827,1185,ドゥラメンテ  ,サウンタ  Saunta(英)  ,Invincible Spirit  (愛)  ,-0.8499775639798057,12,-0.45655893036416106,12,,
1,1,2,バイルシュタイン,牡3,57.0,バデル,寺島,栗東,2022105042,5644,ダンカーク  Dunkirk(米)  ,ペルレンケッテ  ,ディープインパクト  ,-0.34734147382667896,9,-0.29707294573437537,9,,
2,2,3,テイエムタワードン,セ3,57.0,川須,畑端,栗東,2022100329,1128,タワーオブロンドン  ,サットー  ,ステイゴールド  ,-1.0285336605796258,13,-0.5132146211029577,13,,
3,2,4,ビッグバンドビート,牡3,57.0,松若,清水久,栗東,2022107219,1154,McKinzie  (米)  ,キャストインシルバー  Cast in Silver(米)  ,City Zip  (米)  ,-2.198865288044809,16,-0.8845598062304352,16,,
4,3,5,テットドール,牝3,52.0,▲田山,庄野,栗東,2022104966,1220,スワーヴリチャード  ,パールデュー  ,キングカメハメハ  ,0.4854682320983028,6,-0.0328231663000648,6,,
5,3,6,キタノタラーシュ,牡3,57.0,国分優,坂口,栗東,2022106476,1125,アジアエクスプレス  ,ハワイアンアイ  ,キングカメハメハ  ,-2.0233502293832464,15,-0.8288690341263744,15,,
6,4,7,スマートサターン,牡3,57.0,団野,小林,栗東,2022101554,1180,オルフェーヴル  ,スマートムービー  ,サクラバクシンオー  ,1.1001848283041067,4,0.1622258632757578,4,,
7,4,8,シュテルンビルト,牡3,57.0,松山,森田,栗東,2022102360,1126,レインボーライン  ,ブループレリュード  ,ゴールドアリュール  ,-1.4542782182554506,14,-0.648302990823914,14,,
8,5,9,ヤングソルジャー,セ3,57.0,角田和,武幸,栗東,2022105812,1186,ブリックスアンドモルタル  Bricks and Mortar(米)  ,ソルヴェイグ  ,ダイワメジャー  ,0.01594376583733355,8,-0.1818028621006439,8,,
9,5,10,ボーヌロマネ,牡3,57.0,坂井,橋口,栗東,2022102529,1163,マクフィ  Makfi(英)  ,リサプシュケ  ,ワイルドラッシュ  Wild Rush(米)  ,1.3542688880122606,3,0.2428465095746398,3,,
10,6,11,ストラーダレアーレ,牡3,55.0,◇永島,大久保,栗東,2022103928,1187,サートゥルナーリア  ,ダイワプロパー  ,ダイワメジャー  ,-0.4383167951710451,10,-0.3259393343321324,10,,
11,6,12,ディスタービア,牝3,54.0,☆西塚,庄野,栗東,2022100141,1200,ジャスタウェイ  ,ルーレットクイーン  ,ドリームジャーニー  ,1.4028063790647438,2,0.258247412342299,2,,
12,7,13,ワンウェイトゥヘル,牡3,56.0,☆吉村,中村,栗東,2022102701,1216,タワーオブロンドン  ,アリアプーラ  Aria Pura(豪)  ,Flying Spur  ,-0.78548657278753,11,-0.4360959961826591,11,,
13,7,14,レズルレクティオ,セ3,56.0,☆高杉,安田,栗東,2022101442,1213,ドゥラメンテ  ,パスオブドリームズ  Path of Dreams(米)  ,Giant's Causeway  (米)  ,0.09777258455459388,7,-0.15583865065645833,7,,
14,8,15,ゼンノソブリン,牡3,57.0,田口,四位,栗東,2022106992,1208,シャンハイボビー  Shanghai Bobby(米)  ,ヴォワルドール  ,ハービンジャー  Harbinger(英)  ,1.7286332164744074,1,0.36163197823620113,1,,
15,8,16,ミッキージェントル,牡3,57.0,中井,中内田,栗東,2022103221,1141,サートゥルナーリア  ,ジェントルウーマンII  Gentlewoman(愛)  ,Shamardal  (米)  ,0.5435929710048147,5,-0.014380238310094641,5,,
