,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ヒートオンビート,セ8,60.0,石神深,青木,美浦,2017104936,01059,キングカメハメハ ,マルセリーナ ,ディープインパクト 
1,2,2,テイエムタツマキ,牡7,62.0,黒岩,武英,栗東,2018104463,01072,キズナ ,ウィローパドック ,クロフネ 
2,3,3,ディナースタ,牡6,60.0,高田,辻野,栗東,2019101507,01046,ドゥラメンテ ,ラヴァリーノ Ravarino(米) ,Unbridled's Song (米) 
3,4,4,レディステディゴー,牡7,60.0,難波,中村,栗東,2018104865,01066,ダイワメジャー ,レディトゥプリーズ Ready to Please(米) ,More Than Ready 
4,5,5,サンマルグレイト,牡5,60.0,大江圭,佐藤吉,美浦,2020101779,01120,グレーターロンドン ,サンマルベラータ ,ハービンジャー Harbinger(英) 
5,6,6,エコロマーベリック,セ5,60.0,草野,岩戸,美浦,2020102902,01113,ハーツクライ ,スターシップトラッフルズ Starship Truffles(米) ,Ghostzapper 
6,7,7,トーアモルペウス,セ5,61.0,五十嵐,辻,美浦,2020103173,01069,タリスマニック Talismanic(英) ,トーアヒミコ ,クロフネ 
7,7,8,ブリヨンカズマ,牡6,60.0,伴,高橋文,美浦,2019105262,01149,クロフネ ,スプレンダークラン ,ルーラーシップ 
8,8,9,レッドバロッサ,セ6,61.0,小牧加,佐藤悠,栗東,2019105473,01196,ドレフォン Drefong(米) ,モスカートローザ ,ディープインパクト 
9,8,10,パープルアドミラル,牡5,60.0,上野,堀内,美浦,2020104328,01087,シビルウォー ,ママノヨリミチ ,マンハッタンカフェ 
