,式別,馬番,配当,人気
0,単勝,3,580,3
1,複勝,3,200,4
2,複勝,8,260,6
3,複勝,9,130,1
4,枠連,3-7,770,2
5,馬連,3-8,4370,17
6,ワイド,3-8,1450,20
7,ワイド,3-9,420,2
8,ワイド,8-9,790,9
9,馬単,3→8,7290,29
10,3連複,3-8-9,4090,12
11,3連単,3→8→9,33630,118
