,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ルチェンシス,牝3,51.0,★河原田,渡辺,栗東,2022106602,1204,ダイワメジャー ,ゴールデンメロディ ,ディープブリランテ ,-0.8749649884175138,8,-0.5391102103882741,8,,
1,1,2,エターナルプロミス,牝3,55.0,松山,茶木,栗東,2022104917,1126,ドレフォン Drefong(米) ,ディライトプロミス ,Lemon Drop Kid ,-1.5756992654905233,12,-0.7814593841994667,12,,
2,2,3,レゲエパンチ,牝3,55.0,団野,吉田,栗東,2022101113,1180,ドレフォン Drefong(米) ,エメラルコヨーテ ,ネオユニヴァース ,-2.34401429223359,14,-1.0471813818954725,14,,
3,2,4,ゴーオンパーパス,牝3,55.0,岩田望,長谷川,栗東,2022105920,1174,ルヴァンスレーヴ ,ヒカルダイヤモンド ,アグネスタキオン ,-2.6514371539847144,16,-1.1535036769418372,16,,
4,3,5,クインズショコラ,牝3,55.0,Ｍデムーロ,新谷,栗東,2022100159,5212,Tiz the Law (米) ,アーチョコレート Ahh Chocolate(米) ,Candy Ride ,-0.698082306871959,7,-0.47793527841101746,7,,
5,3,6,チョウヒカリ,牝3,55.0,藤懸,羽月,栗東,2022102833,1138,モーニン ,シャドウマスク ,ハーツクライ ,-0.19597044952053494,5,-0.30427973197734054,5,,
6,4,7,セリナピース,牝3,55.0,荻野琢,藤沢,栗東,2022101868,1112,リーチザクラウン ,フラワープリンセス ,キングズベスト King's Best(米) ,-0.03839709289400229,4,-0.2497829361981927,4,,
7,4,8,ハギノコラソン,牝3,52.0,▲今村,寺島,栗東,2022100439,1193,ミッキーアイル ,ハギノセゾン ,シンボリクリスエス ,-1.556017087242956,11,-0.774652296558447,11,,
8,5,9,メイショウボナンザ,牝3,54.0,☆田口,石橋,栗東,2022103133,1208,メイショウサムソン ,マノアラニ ,アグネスタキオン ,-1.1871748578703125,9,-0.647088093579084,9,,
9,5,10,ロフティストーリー,牝3,55.0,吉田隼,久保田,美浦,2022105738,1095,マインドユアビスケッツ Mind Your Biscuits(米) ,ロフティーエイム ,サンデーサイレンス Sunday Silence(米) ,-0.29339235949856757,6,-0.33797313069747287,6,,
10,6,11,コパノマデリン,牝3,53.0,◇永島,渡辺,栗東,2022103103,1187,コパノリッキー ,フェールクークー ,アラムシャー Alamshar(愛) ,0.027565869190834324,3,-0.2269696246670749,3,,
11,6,12,イチトゼロノアイダ,牝3,55.0,鮫島駿,石坂,栗東,2022101607,1157,サンダースノー Thunder Snow(愛) ,トーホウルス ,ディープインパクト ,-1.601234785683622,13,-0.7902908520241693,13,,
12,7,13,ディスタービア,牝3,55.0,坂井,庄野,栗東,2022100141,1163,ジャスタウェイ ,ルーレットクイーン ,ドリームジャーニー ,1.9930669143183055,1,0.4527995403313267,1,,
13,7,14,メイショウドライブ,牝3,55.0,幸,鈴木孝,栗東,2022102574,732,フォーウィールドライブ Four Wheel Drive(米) ,メイショウセレーノ ,アイルハヴアナザー I'll Have Another(米) ,0.5349865728104098,2,-0.05147801205385947,2,,
14,8,15,シーザサンライズ,牝3,55.0,マーカンド,牧浦,栗東,2022102215,5626,リオンディーズ ,デイジーメーカー ,エンパイアメーカー Empire Maker(米) ,-1.2995385159277693,10,-0.6859491006506573,10,,
15,8,16,リープアップ,牝3,55.0,北村友,田中博,美浦,2022105732,1102,ニューイヤーズデイ ,リープオブフェイス ,クロフネ ,-2.3845892499102606,15,-1.0612142439832803,15,,
