,式別,馬番,配当,人気
0,単勝,2,210,1
1,複勝,2,110,1
2,複勝,10,140,2
3,複勝,13,140,3
4,枠連,2-6,480,2
5,馬連,2-10,580,2
6,ワイド,2-10,240,2
7,ワイド,2-13,230,1
8,ワイド,10-13,360,4
9,馬単,2→10,850,1
10,3連複,2-10-13,820,1
11,3連単,2→10→13,2530,1
