,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,クィーンズローズ,牝2,55.0,藤懸,大橋,482(0),栗東,2023102634,1138,モーリス  2011 鹿毛  [血統][産駒]  Roberto系,フェイスマーク  2015 鹿毛  [血統][産駒]  FNo.[8-k],ローエングリン  1999 栗毛  [血統][産駒],-0.6828331194292288,14,-0.36431290908621117,14,,
1,1,2,カスタニッチャ,牝2,55.0,岩田望,高柳大,436(0),栗東,2023105775,1174,ミッキーアイル  2011 鹿毛  [血統][産駒]  Halo系,ヒーリング  2013 鹿毛  [血統][産駒]  FNo.[8-f],バトルプラン  Battle Plan(米)  2005 鹿毛  [血統][産駒],0.8168571151977292,4,0.07293267199816252,4,,
2,2,3,テイエムリチャード,牝2,55.0,和田竜,鈴木孝,514(0),栗東,2023105623,1018,スワーヴリチャード  2014 栗毛  [血統][産駒]  Halo系,ザンスカール  2013 黒鹿毛  [血統][産駒]  FNo.[4-d],エンパイアメーカー  Empire Maker(米)  2000 黒鹿毛  [血統][産駒],0.0503017778725071,10,-0.1505621045651241,10,,
3,2,4,ルージュソムニウム,牝2,55.0,浜中,須貝,452(0),栗東,2023103605,1115,ロードカナロア  2008 鹿毛  [血統][産駒]  Mr. Prospector系,レッドリヴェール  2011 黒鹿毛  [血統][産駒]  FNo.[2-d],ステイゴールド  1994 黒鹿毛  [血統][産駒],-0.04047823326769746,11,-0.17702967620448878,11,,
4,3,5,スピーチバルーン,牝2,55.0,西村淳,吉村,424(0),栗東,2023103457,1171,コントレイル  2017 青鹿毛  [血統][産駒]  Halo系,スピーチ  Speech(米)  2017 鹿毛  [血統][産駒]  FNo.[21-a],Mr Speaker  2011 黒鹿毛  [血統][産駒],0.3254675192502316,6,-0.07033553396726759,6,,
5,3,6,ケンブリッジグレイ,牝2,52.0,▲田山,渡辺,450(0),栗東,2023105085,1220,マインドユアビスケッツ  Mind Your Biscuits(米)  2013 栗毛  [血統][産駒]  Deputy Minister系,ブルーインザスカイ  2011 芦毛  [血統][産駒]  FNo.[18],チチカステナンゴ  Chichicastenango(仏)  1998 芦毛  [血統][産駒],-1.006530851014371,16,-0.45868933394693945,16,,
6,4,7,グレースジェンヌ,牝2,55.0,北村友,上村,444(0),栗東,2023105336,1102,モーリス  2011 鹿毛  [血統][産駒]  Roberto系,モルガナイト  2006 黒鹿毛  [血統][産駒]  FNo.[16-a],アグネスデジタル  1997 栗毛  [血統][産駒],0.20566469793253964,8,-0.10526491672452194,8,,
7,4,8,レーヴドリュヌ,牝2,55.0,田口,宮本,448(0),栗東,2023102073,1208,オルフェーヴル  2008 栗毛  [血統][産駒]  Halo系,ピエールドリュヌ  2011 黒鹿毛  [血統][産駒]  FNo.[12],キングカメハメハ  2001 鹿毛  [血統][産駒],-1.9520305324388578,18,-0.7343566338159524,18,,
8,5,9,サトノカスターニャ,牝2,55.0,坂井,吉岡,428(0),栗東,2023105290,1163,サトノダイヤモンド  2013 鹿毛  [血統][産駒]  Halo系,サミター  Samitar(英)  2009 鹿毛  [血統][産駒]  FNo.[2-f],ロックオブジブラルタル  1999 鹿毛  [血統][産駒],-0.835690923536016,15,-0.40887971217443614,15,,
9,5,10,キミノナハオリョウ,牝2,55.0,高杉,千田,426(0),栗東,2023105199,1213,アドマイヤマーズ  2016 栗毛  [血統][産駒]  Halo系,クリールソレイユ  2009 栗毛  [血統][産駒]  FNo.[6-a],フレンチデピュティ  French Deputy(米)  1992 栗毛  [血統][産駒],0.11799884165164175,9,-0.13082453389462054,9,,
10,6,11,エンブルーシャ,牝2,55.0,武豊,武英,418(0),栗東,2023100144,666,キタサンブラック  2012 鹿毛  [血統][産駒]  Halo系,クリーミーボイス  2012 栗毛  [血統][産駒]  FNo.[9-f],キングカメハメハ  2001 鹿毛  [血統][産駒],-0.3276081615454435,13,-0.26074449239634506,13,,
11,6,12,カモメガトンダ,牝2,54.0,☆吉村,今野,444(0),栗東,2023103611,1216,サートゥルナーリア  2016 黒鹿毛  [血統][産駒]  Mr. Prospector系,レーヌジャルダン  2014 鹿毛  [血統][産駒]  FNo.[4-r],ディープインパクト  2002 鹿毛  [血統][産駒],2.3382338333910595,1,0.5165011048886718,1,,
12,7,13,ハヤブササキチャン,牝2,55.0,Ｃデムーロ,東田,416(0),栗東,2023106894,5473,リアルスティール  2012 鹿毛  [血統][産駒]  Halo系,ヴァフラーム  2012 鹿毛  [血統][産駒]  FNo.[7-f],ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒],0.9207766034570569,3,0.10323115363176669,3,,
13,7,14,シャンパンスター,牝2,55.0,国分優,緒方,418(0),栗東,2023100112,1125,ダノンレジェンド  2010 黒鹿毛  [血統][産駒]  Himyar系,ミヤコスマイル  2015 黒鹿毛  [血統][産駒]  FNo.[22],キングカメハメハ  2001 鹿毛  [血統][産駒],0.4289940557500202,5,-0.040151620273408975,5,,
14,7,15,ダノンプレリュード,牝2,55.0,鮫島駿,矢作,452(0),栗東,2023107239,1157,キタサンブラック  2012 鹿毛  [血統][産駒]  Halo系,マハゴニー  Mahagonny(亜)  2017 黒鹿毛  [血統][産駒]  FNo.[7],Storm Embrujado  2004 黒鹿毛  [血統][産駒],-0.1167578641911661,12,-0.199269556666423,12,,
15,8,16,エイシンニンバス,牝2,55.0,高倉,渡辺,480(0),栗東,2023105519,1130,エイシンフラッシュ  2007 黒鹿毛  [血統][産駒]  Mr. Prospector系,エーシンパナギア  2008 青毛  [血統][産駒]  FNo.[A13],エイシンサンディ  1993 鹿毛  [血統][産駒],-1.5666765767725297,17,-0.6220038889770171,17,,
16,8,17,アラビアンジョイ,牝2,55.0,酒井,高橋一,432(0),栗東,2023102939,1034,サトノアラジン  2011 鹿毛  [血統][産駒]  Halo系,ブリングミージョイ  2018 鹿毛  [血統][産駒]  FNo.[22-b],ドゥラメンテ  2012 鹿毛  [血統][産駒],0.9988442984422914,2,0.1259923571587253,2,,
17,8,18,セントピュアベース,牝2,55.0,松若,藤野,408(0),栗東,2023100580,1154,クリソベリル  2016 鹿毛  [血統][産駒]  Halo系,プリンシアコメータ  2013 黒鹿毛  [血統][産駒]  FNo.[5-h],スパイキュール  2000 黒鹿毛  [血統][産駒],0.3254675192502316,6,-0.07033553396726759,6,,
