,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ラテライト,牝3,52.0,◇永島,松下,448(-2),栗東,2022105794,1187,ブリックスアンドモルタル Bricks and Mortar(米),サルサドゥーラ,ゴールドアリュール,0.31654596252868644,4,-0.12756803263591251,4,,
1,1,2,キャストロププ,牡3,56.0,丹内,尾形,494(0),美浦,2022100749,1091,ルヴァンスレーヴ,キャストロメファ,トワイニング Twining(米),1.783589238386204,2,0.15827982932959672,2,,
2,2,3,ハルフロンティア,牡3,53.0,▲舟山,池添,492(+2),栗東,2022104724,1221,レイデオロ,カンデラ,ダイワメジャー,1.4238416587941032,3,0.0881843671397981,3,,
3,2,4,シーリュウシー,牡4,56.0,△柴田裕,岡田,498(-2),栗東,2021106180,1212,ホッコータルマエ,ムニン,Bernardini (米),-0.19156635356760804,8,-0.22657180545206976,8,,
4,3,5,ルシタニア,牡3,53.0,▲森田,武幸,478(-6),栗東,2022104640,1222,レイデオロ,イスパニダ Hispanidad(亜),Pure Prize,-0.6271745378700683,11,-0.31144842101390624,11,,
5,3,6,セーデルマンランド,牡3,56.0,秋山稔,大根田,510(+14),栗東,2022100688,1181,ホッコータルマエ,ディアハート,ヘニーヒューズ Henny Hughes(米),-0.9302759871086468,15,-0.37050659785797485,15,,
6,4,7,プルーヴンウィナー,牝4,53.0,▲古川奈,矢作,510(-12),栗東,2021104780,1190,キズナ,ブラインドラック Blind Luck(米),Pollard's Vision,-0.7095572658058762,12,-0.32750038555433336,12,,
7,4,8,リアンクトワ,牝4,56.0,長岡,辻野,444(0),栗東,2021103293,1142,ドレフォン Drefong(米),アヴェクトワ,チチカステナンゴ Chichicastenango(仏),-0.9302759871086468,15,-0.37050659785797485,15,,
8,5,9,イエローブリック,牡3,55.0,☆松本,奥村豊,520(+4),栗東,2022105493,1191,ブリックスアンドモルタル Bricks and Mortar(米),プライマリーコード,クロフネ,-0.4884233580493668,9,-0.2844132757324855,9,,
9,5,10,ピストルスター,牡3,53.0,▲和田陽,高橋亮,492(-6),栗東,2022106937,1223,アニマルキングダム Animal Kingdom(米),ケージーサクランボ,キングカメハメハ,0.31654596252868644,4,-0.12756803263591251,4,,
10,6,11,ホウオウラムセス,牡4,55.0,▲水沼,加藤和,508(+6),美浦,2021103487,1201,エピファネイア,オメガフレグランス,ゴールドアリュール,0.1105267794721875,6,-0.16771009522514224,6,,
11,6,12,ダンツドール,牝4,56.0,富田,四位,454(0),栗東,2021100112,1168,ホッコータルマエ,エアブライス,ハービンジャー Harbinger(英),-0.9302759871086468,15,-0.37050659785797485,15,,
12,7,13,ベイラム,牡3,56.0,小沢,武英,438(0),栗東,2022105505,1185,サートゥルナーリア,ベイトゥベイ Bay to Bay(米),Sligo Bay,-0.4961551957867077,10,-0.2859197952214837,10,,
13,7,14,シドニーホバート,牡3,56.0,斎藤,杉山佳,518(-6),栗東,2022105506,1178,ストロングリターン,ベガスナイト,コロナドズクエスト Coronado's Quest(米),-0.8478932591728386,13,-0.3544546333175477,13,,
14,8,15,ジャスティンライズ,セ4,58.0,菊沢,吉岡,528(-2),栗東,2021103237,1161,キズナ,ジアナズドリーム Gianna's Dream(米),Twirling Candy,-0.0006916312731375334,7,-0.1893805840552486,7,,
15,8,16,オオタチ,牡3,56.0,吉田隼,久保田,452(+2),美浦,2022101234,1095,ルヴァンスレーヴ,チェス,フリオーソ,2.201239961141674,1,0.239657501081112,1,,
