,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,トゥラッタッタ,牡4,59.0,石神深,新開,472(+6),美浦,2021102973,01059,デクラレーションオブウォー,クイーンマザー,ハーツクライ
1,2,2,ロードプレイヤー,牡5,59.0,坂口,尾形,458(+4),美浦,2020101199,01211,グレーターロンドン,ホオポノポノ,タニノギムレット
2,3,3,タイキフロリゼル,牡7,60.0,黒岩,谷,474(-4),栗東,2018106474,01072,リオンディーズ,フロレンティナ,クロフネ
3,4,4,ミトロジー,セ9,59.0,金子,尾関,482(-2),美浦,2016104665,01052,ダイワメジャー,リードストーリー Lead Story(米),Editor's Note
4,5,5,プラチナトレジャー,牡7,59.0,伴,国枝,490(-2),美浦,2018104261,01149,キングカメハメハ,ホワイトエレガンス,クロフネ
5,5,6,インディゴブラック,セ6,60.0,小坂,奥村豊,516(-2),栗東,2019105143,01063,キタサンブラック,カーニバルダクス,Bernardini (米)
6,6,7,アルデドゥオーモ,牡4,59.0,草野,矢野,498(+8),美浦,2021100361,01113,オルフェーヴル,アルフィルク,アグネスタキオン
7,6,8,ダイスアローリング,牡4,59.0,上野,古賀,518(+4),美浦,2021104861,01087,サトノダイヤモンド,サンタエヴィータ,Smart Strike (加)
8,7,9,スズカハービン,牡5,60.0,難波,高橋忠,468(+2),栗東,2020106654,01066,ハービンジャー Harbinger(英),スズカローラン,サンデーサイレンス Sunday Silence(米)
9,7,10,テクネチウム,牡4,59.0,小野寺,前川,500(+10),栗東,2021104280,01123,マクフィ,プリンセス,キングズベスト King's Best(米)
10,8,11,アサクサゲンキ,セ10,61.0,西谷誠,四位,468(-4),栗東,2015110032,01005,Stormy Atlantic,Amelia,Dixieland Band
11,8,12,オールザワールド,牡8,60.0,森一,中竹,472(-4),栗東,2017105248,01139,キズナ,エピックラヴ Epic Love(愛),Dansili
