,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,シャイニースイフト,牡5,55.0,▲遠藤,菊川,442(+6),美浦,2020101184,01218,ダノンバラード,ブライティアスター,ダイタクリーヴァ,-0.296633883668696,9
1,2,2,エフォートレス,牡4,58.0,横山和,嘉藤,476(-2),美浦,2021100564,01140,エピファネイア,ブライトガーランド,ダイワメジャー,0.042902426248407635,7
2,3,3,ガルサブランカ,牝4,56.0,川田,木村,470(0),美浦,2021105556,01088,キズナ,シャトーブランシュ,キングヘイロー,0.40220799251031186,5
3,4,4,ダイシンアポロン,牡4,58.0,横山武,戸田,466(0),美浦,2021100660,01170,レイデオロ,サラファン,アグネスタキオン,-1.3831290339335516,13
4,4,5,ブラックルビー,牝3,55.0,プーシャン,田中博,432(-8),美浦,2022105981,05678,キズナ,メジロスプレンダー,シンボリクリスエス,-0.14055637103053464,8
5,5,6,ダノンセンチュリー,牡3,57.0,戸崎圭,萩原,460(-4),美浦,2022104814,05386,フィエールマン,シャンブルドット,Lope de Vega,-1.2937967506429175,12
6,5,7,ケイケイ,セ4,58.0,木幡巧,杉浦,480(+10),美浦,2021103799,01162,イスラボニータ,スウィートハース Sweet Hearth(米),Touch Gold,0.6551295873025244,4
7,6,8,フォルラニーニ,牡4,58.0,ルメール,手塚久,504(-2),美浦,2021105859,05339,エピファネイア,リナーテ,ステイゴールド,2.1925804456827245,2
8,6,9,コムユンプリュム,牝3,55.0,松山,鹿戸,428(0),美浦,2022105318,01126,ブリックスアンドモルタル Bricks and Mortar(米),コム Commes(仏),Le Havre,-1.2936073932456627,11
9,7,10,ホウオウシェリー,牝4,56.0,菅原明,池上,438(-4),美浦,2021103486,01179,ブリックスアンドモルタル Bricks and Mortar(米),オヒア,ブラックタイド,0.29802685969696824,6
10,7,11,ドーンコーラス,牝4,56.0,マーカンド,萩原,452(-2),美浦,2021105415,05626,スワーヴリチャード,ウェイクミーアップ,ロックオブジブラルタル,-0.45294010247499034,10
11,8,12,アルゲンテウス,セ6,58.0,レーン,小島,468(0),美浦,2019105497,05585,シルバーステート,ラダームブランシェ,チチカステナンゴ Chichicastenango(仏),2.661551517831653,1
12,8,13,ジルバーン,牡6,58.0,内田博,緒方,432(-4),栗東,2019104761,00422,ハーツクライ,シルヴァーカップ Silver Cup(愛),Almutawakel,1.5234883857026027,3
