,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ニシノヒンメル,牝2,55.0,野中,竹内,418(+8),美浦,2023106261,01158,セイウンコウセイ,レッドエーデル,ルーラーシップ,-0.9990034451583526,5
1,1,2,ロンドンオービタル,牝2,55.0,石川,岩戸,440(-2),美浦,2023103032,01150,タワーオブロンドン,マリナーズコンパス,ディープインパクト,-1.1577279075347506,6
2,2,3,タヤスロレンヌ,牝2,55.0,江田照,岩戸,460(+6),美浦,2023104232,00689,タワーオブロンドン,ディープブルーム,ディープブリランテ,-1.3954817224673983,7
3,2,4,ビタールート,牝2,55.0,亀田,奥村豊,458(-4),栗東,2023107132,01176,インディチャンプ,トレジャーステイト,Oasis Dream (英),-1.75246930547186,10
4,3,5,カレンデュラ,牝2,55.0,嶋田,南田,424(+4),美浦,2023106613,01134,アルアイン,オフェーリアシチー,アドマイヤコジーン,-1.5314959842800626,8
5,3,6,テイエムスワーブ,牝2,52.0,▲和田陽,小椋,424(+12),栗東,2023106712,01223,スワーヴリチャード,ギンマクノヒロイン,グラスワンダー,-2.396521511247324,15
6,4,7,ロジスカヤ,牝2,52.0,▲舟山,国枝,406(+4),美浦,2023104685,01221,シルバーステート,ロジモーリス,モーリス,-1.9796008585505667,13
7,4,8,バランソワール,牝2,55.0,荻野極,矢野,416(+8),美浦,2023106807,01160,ポエティックフレア Poetic Flare(愛),パドゥヴァルス,エピファネイア,-1.7700700339881263,11
8,5,9,レッドアイスピア,牡2,54.0,△柴田裕,中竹,456(+2),栗東,2023105670,01212,リオンディーズ,アマルフィターナ,シンボリクリスエス,-1.6241201266925729,9
9,5,10,ゴールドパレード,牡2,56.0,横山琉,天間,476(+2),美浦,2023104505,01192,ゴールドアクター,ゴールドアピール,ベーカバド  Behkabad(仏),-2.6644355859914524,16
10,6,11,エイシンウィゾール,牝2,55.0,丹内,田中剛,420(+8),美浦,2023105518,01091,サトノダイヤモンド,エーシンクールディ,Distorted Humor (米),1.1790441554438897,1
11,6,12,タナスーペルノーバ,牡2,54.0,◇今村,寺島,462(0),栗東,2023102661,01193,ダノンプレミアム,タナノフローラ,ルーラーシップ,0.5935948621266006,2
12,7,13,エコロアビス,牝2,52.0,▲古川奈,牧浦,470(+4),栗東,2023102982,01190,ロジャーバローズ,ピサノルビー,ブライアンズタイム  Brian's Time(米),-0.118635209209149,3
13,7,14,サフランメロディ,牝2,51.0,★谷原,小野,366(+2),美浦,2023101822,01219,ワールドエース,サフランブーケ,スターリングローズ,-0.19051737093098073,4
14,8,15,ナクソス,牡2,56.0,丸山,井上,444(+8),栗東,2023105868,01127,ビーチパトロール  Beach Patrol(米),ウインミューズ,ダイワメジャー,-2.0186694092029875,14
15,8,16,カイトヴァイター,牡2,56.0,菊沢,武市,436(+2),美浦,2023109039,01161,ミスチヴィアスアレックス Mischevious Alex(米),ミネルバローズ,フジキセキ,-1.8815380537070805,12
