,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,マーゴットブロー,牡2,56.0,荻野極,伊坂,504(+10),美浦,2023105356,1160,Twirling Candy,タフイルマ,Stormy Atlantic,-1.1083211674142959,15,-0.5385311261012488,15,,
1,1,2,カタリテ,牡2,56.0,高杉,北出,462(0),栗東,2023104626,1213,ダノンレジェンド,ツナグテ,デュランダル,0.5804767738617972,3,-0.0026770404483082225,3,,
2,2,3,オクトーバーナイン,牡2,56.0,柴田善,稲垣,492(-2),美浦,2023103962,641,コパノリッキー,アロゴ,ジャスタウェイ,0.8128425330550727,1,0.07105240840184748,1,,
3,2,4,ゲームカレンダー,牡2,56.0,小林美,小笠,456(+18),美浦,2023104614,1206,カレンブラックヒル,コンパクトモデル,カンパニー,0.3424086611125415,4,-0.07821584101315202,4,,
4,3,5,ワイズギャング,牝2,55.0,長岡,河嶋,444(0),栗東,2023102208,1142,ミスチヴィアスアレックス,レディギャング,クロフネ,-1.2918230806925912,16,-0.5967561200759605,16,,
5,3,6,ホウオウルクソール,牡2,56.0,吉田隼,栗田,464(-8),美浦,2023104174,1095,ヘニーヒューズ,シンボリティアラ,スクリーンヒーロー,-0.11481746253660921,9,-0.22329328363457163,9,,
6,4,7,ジャンシ,牡2,56.0,丸山,森秀,468(-2),栗東,2023110088,1127,More Than Ready,Autumnal,Forestry,-0.45342182036639134,10,-0.33073214540028234,10,,
7,4,8,エシェックオロワ,牡2,56.0,松本,千田,472(-2),栗東,2023103755,1191,ミッキーアイル,ウィズエモーション,クロフネ,0.26726544862608953,6,-0.10205871554290577,6,,
8,5,9,フレグレイ,牝2,55.0,国分恭,角田,482(-10),栗東,2023101109,1124,パイロ,エオリア,ストリートセンス,-0.5106259565527371,11,-0.34888296696543564,11,,
9,5,10,スターオブロンドン,牡2,56.0,古川奈,矢作,476(0),栗東,2023105545,1190,タワーオブロンドン,ナイトオブスターズ,Sea The Stars Sea the Stars,-1.0902238760305343,14,-0.5327888716312363,14,,
10,6,11,マイケルバローズ,牡2,56.0,団野,上村,498(+2),栗東,2023104856,1180,ロードカナロア,アルーリングハート,ダイワメジャー,-0.5288874568470584,12,-0.354677324776809,12,,
11,6,12,ジャレッド,牡2,56.0,富田,秋山,482(+8),栗東,2023107538,1168,Yaupon,Buy Me a Rose,Violence,0.6664438522041946,2,0.024600237096577784,2,,
12,7,13,ヘリテージブルーム,牡2,56.0,小沢,伊藤圭,456(+8),美浦,2023103365,1185,ミスチヴィアスアレックス,オールドパサデナ,エンパイアメーカー,-1.0120774639079615,13,-0.5079930845263815,13,,
13,7,14,ウィングブルー,牝2,55.0,菅原明,斎藤誠,494(-4),美浦,2023105317,1179,アドマイヤマーズ,パーリーアヴェニュー,Anabaa,-0.03450138823157045,8,-0.19780906464775788,8,,
14,8,15,マジッククッキー,牡2,56.0,鮫島駿,加藤士,502(+2),美浦,2023105092,1157,マインドユアビスケッツ,ジョリーアップ,バトルプラン,0.28640631267108907,5,-0.09598533639507811,5,,
15,8,16,キーンセンス,牡2,56.0,亀田,松永幹,514(+4),栗東,2023110036,1176,Munnings,Canny,Big Brown,0.011893128654515972,7,-0.1830881256782809,7,,
