,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,コルドゥーン,牡9,57.0,▲井上,石栗,美浦,2016103092,01151,トゥザグローリー ,バーグドール ,サクラバクシンオー 
1,2,2,クラップサンダー,牡6,60.0,黒岩,牧田,栗東,2019103278,01072,ジャスタウェイ ,ゲッコウ ,キングカメハメハ 
2,3,3,ヴァリアメンテ,牡7,61.0,西谷誠,中内田,栗東,2018105478,01005,ドゥラメンテ ,ヴァリディオル ,Dynaformer 
3,3,4,レッドバロッサ,セ6,61.0,小牧加,音無,栗東,2019105473,01196,ドレフォン Drefong(米) ,モスカートローザ ,ディープインパクト 
4,4,5,トーセンアウローラ,牡5,57.0,▲坂口,尾形,美浦,2020102499,01211,マクマホン Mac Mahon(伊) ,トーセンシャイニー ,ネオユニヴァース 
5,4,6,パープルアドミラル,牡5,60.0,金子,堀内,美浦,2020104328,01052,シビルウォー ,ママノヨリミチ ,マンハッタンカフェ 
6,5,7,パワータイショウ,牡6,60.0,小野寺,村山,栗東,2019106307,01123,アメリカンペイトリオット ,メモリアルイヤー ,ゴールドアリュール 
7,5,8,アンクルブラック,牡5,61.0,高田,高橋亮,栗東,2020101756,01046,キタサンブラック ,ウインクルキラリ ,ダンスインザダーク 
8,6,9,マイネルエール,セ6,60.0,大江圭,蛯名利,美浦,2019100794,01120,スクリーンヒーロー ,マイネヒメル ,ロージズインメイ Roses in May(米) 
9,6,10,クラウンセト,牡6,60.0,草野,本間,美浦,2019101488,01113,ストロングリターン ,クラウンイヴ ,ブラックタイド 
10,7,11,ピンポイントドロー,牡5,60.0,五十嵐,宗像,美浦,2020103003,01069,レッドファルクス ,ピリカクル ,オルフェーヴル 
11,7,12,モントライゼ,牡7,60.0,森一,松永幹,栗東,2018105296,01139,ダイワメジャー ,ムーングロウ Moonglow(英) ,Nayef 
12,8,13,ローディアマント,セ5,60.0,伴,尾関,美浦,2020101429,01149,サトノダイヤモンド ,ブロッサムレーン Blossom Lane(英) ,New Approach 
13,8,14,ラエール,牝6,58.0,上野,土田,美浦,2019106851,01087,エイシンフラッシュ ,ビジョナリー ,ディープインパクト 
