,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ワイドブリザード,セ4,58.0,鮫島駿,武井,美浦,2021104416,01157,カリフォルニアクローム California Chrome(米) ,ハナフブキ ,ディープインパクト ,-0.405466546409351,7
1,1,2,ストロングブラック,牡4,58.0,柴田大,粕谷,美浦,2021109063,01009,インカンテーション ,コウヨウアイリーン ,ダンスインザダーク ,-0.3552985151338848,6
2,2,3,ヴィーゲイツ,牝4,56.0,木幡育,千葉,美浦,2021100059,01167,ヘンリーバローズ ,ブリーズヴェール ,バゴ Bago(仏) ,-0.3236157262435344,5
3,2,4,マシュー,牡4,58.0,石川,尾形,美浦,2021104738,01150,ジャスタウェイ ,ローザデルドバイ ,Dubai Destination ,-0.8480892047344495,10
4,3,5,サンセットブライト,牝4,55.0,☆横山琉,相沢,美浦,2021102753,01192,ホッコータルマエ ,デルマオサキ ,ネオユニヴァース ,0.03111666904099375,4
5,3,6,ノルドヴェスト,牡5,58.0,横山武,萩原,美浦,2020102711,01170,ロードカナロア ,マエストラーレ ,ネオユニヴァース ,-1.1630692202908504,13
6,4,7,ユキノフルマチ,牝4,53.0,▲佐藤,杉浦,美浦,2021100043,01207,マインドユアビスケッツ Mind Your Biscuits(米) ,ブルーミングスノー ,サンデーサイレンス Sunday Silence(米) ,-0.4750155817529975,8
7,4,8,ディナトセレーネ,牝5,55.0,☆原,尾関,美浦,2020102934,01184,レッドファルクス ,ダイワミランダ ,ハービンジャー Harbinger(英) ,-1.3207218373027043,14
8,5,9,フィリップ,牡4,58.0,木幡巧,岩戸,美浦,2021102797,01162,ロージズインメイ Roses in May(米) ,ナムラカグヤヒメ ,エンパイアメーカー Empire Maker(米) ,-2.115236313738492,15
9,5,10,トラジェクトワール,牡4,58.0,北村宏,尾関,美浦,2021105555,01043,モーリス ,シャイントレイル ,ヴィクトワールピサ ,-1.1348925395822913,11
10,6,11,ホワイトクロウ,セ7,58.0,石橋脩,矢野,美浦,2018105544,01077,ヘニーヒューズ Henny Hughes(米) ,ピエリーナ ,チチカステナンゴ Chichicastenango(仏) ,1.1906656122364132,1
11,6,12,カーリングホリデー,牝4,55.0,☆高杉,宗像,美浦,2021106982,01213,ニューイヤーズデイ ,クリッピングエリア ,シンボリクリスエス ,-1.1358745401681838,12
12,7,13,アルプスオジョー,牝4,56.0,小林凌,小西,美浦,2021100540,01177,パイロ Pyro(米) ,イザベルドスメーン ,スペシャルウィーク ,0.6942673347115392,2
13,7,14,ホウオウフェイント,牡4,58.0,戸崎圭,高木,美浦,2021103481,05386,ヴィクトワールピサ ,エリモフェザー ,シニスターミニスター Sinister Minister(米) ,0.06463106430188661,3
14,8,15,テンフェリーチェ,牝5,53.0,▲長浜,辻,美浦,2020105564,01214,ディスクリートキャット Discreet Cat(米) ,ジョディーズロマン ,サムライハート ,-2.7410749955498015,16
15,8,16,ベルフィーヌ,牝4,56.0,松岡,堀内,美浦,2021104754,01085,マインドユアビスケッツ Mind Your Biscuits(米) ,クライリング ,ハーツクライ ,-0.8457125881160069,9
