,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ベネスピラ,牡3,57.0,三浦,鹿戸,美浦,2022102745,01122,レイデオロ ,ペイフォワード ,ディープインパクト ,-1.3130364473571938,16
1,1,2,ハットメリリー,牝3,52.0,▲長浜,菊沢,美浦,2022101569,01214,フィエールマン ,ハットラブ ,ワークフォース Workforce(英) ,-1.253009191591806,15
2,2,3,エイミームーン,牝3,55.0,木幡育,矢野,美浦,2022106013,01167,ポアゾンブラック ,ジョジョニー ,ゴールドアリュール ,-0.3056131040849561,6
3,2,4,モリブトバクカジ,牡3,57.0,丸田,松山,美浦,2022103338,01117,ダンカーク Dunkirk(米) ,ヨイミヤ ,マツリダゴッホ ,-1.0577362146481086,13
4,3,5,ウーバーミッション,牝3,55.0,小林凌,小西,美浦,2022104572,01177,ノーブルミッション Noble Mission(英) ,エンゼルジョーカー ,ブライアンズタイム Brian's Time(米) ,-0.25591201105806716,4
5,3,6,フランコジャポネ,牝3,55.0,キング,高橋亮,栗東,2022104689,05643,ドゥラメンテ ,エライヤ Elaya(仏) ,Siyouni ,-1.1563425258442548,14
6,4,7,ジーヴル,牡3,57.0,松岡,牧田,栗東,2022103521,01085,レッドファルクス ,ジェルヴェーズ ,メイショウサムソン ,-0.6822824137923857,10
7,4,8,イスラコラソン,牝3,55.0,杉原,大和田,美浦,2022105445,01135,イスラボニータ ,ハートシェイプト Heart Shaped(米) ,Storm Cat (米) ,-0.5821034812875222,9
8,5,9,ノアヴィヴァーチェ,牡3,57.0,菅原隆,鈴木慎,美浦,2022102446,01129,モーニン ,トウカイネオ ,ハービンジャー Harbinger(英) ,-0.3197065477809665,7
9,5,10,ホウオウゴールド,牡3,57.0,横山和,栗田,美浦,2022106011,01140,ディーマジェスティ ,クニコチャン ,ゴールドアリュール ,0.16956720540623962,3
10,6,11,ユースフルネス,牡3,57.0,柴田大,小野,美浦,2022100482,01009,マジェスティックウォリアー Majestic Warrior(米) ,ミッキーパパイア ,ルーラーシップ ,-0.9877590581036583,12
11,6,12,サーフギャラクシー,牡3,57.0,内田博,松山,美浦,2022103508,00422,ビーチパトロール Beach Patrol(米) ,ギャラクシーセレブ ,ブラックタイド ,-0.7708229115178941,11
12,7,13,リュクスビスケッツ,牝3,55.0,菅原明,加藤士,美浦,2022105565,01179,マインドユアビスケッツ Mind Your Biscuits(米) ,レイクキャリー ,ダイワメジャー ,-0.2952016786387539,5
13,7,14,エイチエヌハーモニ,牡3,57.0,原田和,蛯名利,美浦,2022106255,01143,ユアーズトゥルーリ ,ヴィーナスゴスペル ,スペシャルウィーク ,0.5830440599462582,1
14,8,15,ロジジェンス,牡3,57.0,野中,古賀,美浦,2022102053,01158,キズナ ,インテリジェンス ,ハービンジャー Harbinger(英) ,-0.47066225732982925,8
15,8,16,バスキュラリティ,牡3,57.0,大野,羽月,栗東,2022100004,01096,リオンディーズ ,グランドクララ ,Frankel ,0.3983735389501933,2
