,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ジーククローネ,セ5,60.0,草野,宮田,美浦,2020103537,01113,サトノクラウン ,パーフェクトマッチ ,サンデーサイレンス Sunday Silence(米) 
1,2,2,ホウオウエクレール,牡8,60.0,小牧加,宮,栗東,2017103293,01196,ブラックタイド ,タマヒカル ,パラダイスクリーク Paradise Creek(米) 
2,3,3,ハイラブハンター,牡7,60.0,小野寺,谷,栗東,2018103195,01123,メイショウサムソン ,エスケイミネルバ ,メイショウボーラー 
3,4,4,ナイトスピアー,牡5,60.0,大江圭,小野,美浦,2020102347,01120,ストロングリターン ,サクラコ ,メジロベイリー 
4,5,5,ビオグラフィア,牡7,60.0,中村,松下,栗東,2018105471,01101,ルーラーシップ ,イストワール ,サンデーサイレンス Sunday Silence(米) 
5,6,6,アースブレイブ,セ8,60.0,江田勇,宗像,美浦,2017106236,01023,ゴールドシップ ,オーシャンルミナス ,フレンチデピュティ French Deputy(米) 
6,6,7,トモジャオッシュ,牡4,59.0,難波,大根田,栗東,2021102618,01066,ホッコータルマエ ,ミナスジェライス ,マンハッタンカフェ 
7,7,8,ボルタドマール,セ6,60.0,伴,黒岩,美浦,2019104842,01149,ストロングリターン ,ハルマッタン ,マンハッタンカフェ 
8,7,9,トップスティール,牡6,60.0,石神深,深山,美浦,2019106387,01059,カレンブラックヒル ,モアスマイル ,ホワイトマズル White Muzzle(英) 
9,8,10,ウインメラナイト,牡4,59.0,森一,緒方,栗東,2021106196,01139,ジャスタウェイ ,ウインガーネット ,ヴィクトワールピサ 
10,8,11,グランナヴィール,牡4,59.0,上野,堀内,美浦,2021101779,01087,ゴールドシップ ,ウッドシップ ,クロフネ 
