,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,アカウフリューゲル,牝3,55.0,富田,清水久,492(-4),栗東,2023105438,01168,キタサンブラック,ラヴバインド,ショウナンカンプ,-4.864661673110211,12
1,1,2,セイウンプーパ,牝3,52.0,▲遠藤,奥平,428(+6),美浦,2023105570,01218,キタサンブラック,ターフグロッカ,Soldier Hollow,-3.57349641159374,7
2,2,3,ユアベストダンサー,牝3,52.0,▲上里,松尾,468(0),美浦,2023103663,01217,マインドユアビスケッツ,ブラックダンサー,ブラックタイド,-4.029258886154435,8
3,2,4,トーアアグネス,牝3,53.0,◇古川奈,羽月,408(0),栗東,2023103849,01190,ノーブルミッション,トーアティアレ,ゴールドアリュール,-5.559593598614907,14
4,3,5,マルカスマッシュ,牡3,57.0,菊沢,浜田,468(+4),栗東,2023100540,01161,ダノンスマッシュ,ヒダロマン,ワークフォース,-5.7257371022765895,15
5,3,6,イヌボウノシオカゼ,牝3,53.0,◇今村,大和田,434(+2),美浦,2023102495,01193,ベンバトル,ロビンザフィリー,ディープインパクト,-3.2705833911851525,6
6,4,7,ツトムユニバース,セ3,57.0,長岡,本間,436(-6),美浦,2023100686,01142,ミスターメロディ,ペガサスファーマ,ブラックタイド,-4.383244428669875,10
7,4,8,メーレスブリーゼ,牝3,55.0,武藤,水野,420(0),美浦,2023106429,01169,ゴールドシップ,ヴォイスオブジョイ,Magician,-6.140983850581852,16
8,5,9,チャーミングアイ,牝3,52.0,▲大久保,菊川,478(+6),美浦,2023101227,01194,マテラスカイ,ヴィルヌーヴ,ディープインパクト,-4.099005812108686,9
9,5,10,シュタルク,牡3,57.0,小崎,河嶋,486(0),栗東,2023106662,01152,タワーオブロンドン,シュトルツ,キズナ,-5.129031700769033,13
10,6,11,ジョイアミーア,牝3,53.0,△舟山,高柳瑞,464(-2),美浦,2023106907,01221,モズアスコット,ヴィータアレグリア,ネオユニヴァース,0.22647610580477953,1
11,6,12,ラブミーアゲイン,牝3,55.0,嶋田,矢嶋,422(+2),美浦,2023106599,01134,ダノンキングリー,デスティニーラブ,アグネスデジタル,-1.450428859905238,3
12,7,13,コンフィアンサ,牝3,52.0,▲小林美,菊川,432(-2),美浦,2023102342,01206,ミスターメロディ,ロマネクイーン,マイネルラヴ,-4.415635394960881,11
13,7,14,クールフィールド,牝3,55.0,荻野極,矢野,440(+2),美浦,2023100280,01160,フォーウィールドライブ,クールユリア,ケイムホーム,-0.6677579146334571,2
14,8,15,ミルトメロディー,牝3,51.0,★河原田,青木,422(-4),美浦,2023100397,01204,インディチャンプ,メイショウホナミ,アイルハヴアナザー,-2.6257840796563228,5
15,8,16,リュウセイコウテイ,牡3,57.0,丹内,奥平,450(0),美浦,2023106437,01091,ウインブライト,ケイティラブ,スキャン,-1.6045643416088307,4
