,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604020407,1,3,6,ピューロマジック,牝5,56,田辺裕信,0:0:53.5,,1,31.7,2.7,1,460,[西]安田翔伍,芝,1000,晴,良,2026年08月02日,オープン,2021107058,01075
202604020407,2,6,11,ロードトレイル,牡5,57,大野拓弥,0:0:54.0,3,3,32.0,89.5,14,478,[西]藤岡健一,芝,1000,晴,良,2026年08月02日,オープン,2021100157,01096
202604020407,3,2,4,カウスリップ,牝4,55,津村明秀,0:0:54.1,アタマ,2,32.2,45.0,10,556,[東]中舘英二,芝,1000,晴,良,2026年08月02日,オープン,2022100627,01092
202604020407,4,8,17,ビッグシーザー,牡6,57,荻野極,0:0:54.2,1,6,32.0,6.8,4,520,[西]杉山晴紀,芝,1000,晴,良,2026年08月02日,オープン,2020100896,01160
202604020407,5,8,16,アメリカンステージ,牡4,57,戸崎圭太,0:0:54.3,3/4,3,32.3,3.8,2,514,[西]矢作芳人,芝,1000,晴,良,2026年08月02日,オープン,2022110105,05386
202604020407,6,5,10,エコロレジーナ,牝6,55,菊沢一樹,0:0:54.4,1/2,8,32.1,6.1,3,504,[東]菊沢隆徳,芝,1000,晴,良,2026年08月02日,オープン,2020101262,01161
202604020407,7,1,1,ウイングレイテスト,牡9,58,松岡正海,0:0:54.5,クビ,6,32.3,24.1,6,504,[東]畠山吉宏,芝,1000,晴,良,2026年08月02日,オープン,2017101423,01085
202604020407,8,3,5,ベルギューン,牝4,55,菱田裕二,0:0:54.5,ハナ,10,32.0,53.1,12,500,[西]牧浦充徳,芝,1000,晴,良,2026年08月02日,オープン,2022100098,01144
202604020407,9,7,13,テイエムスパーダ,牝7,56,国分恭介,0:0:54.5,クビ,5,32.4,15.7,5,500,[西]小椋研介,芝,1000,晴,良,2026年08月02日,オープン,2019103422,01124
202604020407,10,7,14,ブーケファロス,牡6,57,石橋脩,0:0:54.6,クビ,10,32.1,245.9,17,456,[東]清水英克,芝,1000,晴,良,2026年08月02日,オープン,2020101419,01077
202604020407,11,1,2,デュガ,セ7,57,江田照男,0:0:54.7,1/2,9,32.3,131.4,15,480,[西]森秀行,芝,1000,晴,良,2026年08月02日,オープン,2019110102,00689
202604020407,12,4,7,バグラダス,牡6,57,杉原誠人,0:0:54.7,ハナ,13,32.0,48.7,11,488,[東]嘉藤貴行,芝,1000,晴,良,2026年08月02日,オープン,2020106015,01135
202604020407,13,6,12,クムシラコ,牡8,57,原優介,0:0:54.7,アタマ,10,32.2,24.3,7,470,[東]千葉直人,芝,1000,晴,良,2026年08月02日,オープン,2018103205,01184
202604020407,14,5,9,カウンターセブン,牡4,57,三浦皇成,0:0:54.9,1,14,32.1,29.5,9,510,[東]村田一誠,芝,1000,晴,良,2026年08月02日,オープン,2022104197,01122
202604020407,15,2,3,ミカッテヨンデイイ,牝6,55,小林脩斗,0:0:54.9,クビ,14,32.1,217.3,16,434,[東]室井潔,芝,1000,晴,良,2026年08月02日,オープン,2020103049,01183
202604020407,16,8,15,アタリダイキチ,牡4,57,武藤雅,0:0:55.0,1/2,17,31.8,72.9,13,490,[東]西田雄一,芝,1000,晴,良,2026年08月02日,オープン,2022107138,01169
202604020407,17,4,8,シュラフ,牝4,55,嶋田純次,0:0:55.3,2,16,32.2,25.4,8,440,[東]佐藤吉勝,芝,1000,晴,良,2026年08月02日,オープン,2022103324,01134
