,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,サクセスバラード,牡5,60.0,上野,竹内,美浦,2020104898,01087,ダノンバラード ,ミスベルツリー ,アグネスデジタル 
1,2,2,ケイアイプロキオン,牡4,59.0,石神深,和田郎,美浦,2021103836,01059,デクラレーションオブウォー ,クインズサリナ ,ダノンシャンティ 
2,3,3,トーセンニック,牡7,60.0,江田勇,田村,美浦,2018105647,01023,トーセンファントム ,トーセンアルニカ ,メイショウサムソン 
3,4,4,タプファーアイ,セ4,59.0,黒岩,四位,栗東,2021100717,01072,エピファネイア ,ジェネロシティー ,フジキセキ 
4,5,5,タイセイシェダル,牡7,60.0,難波,高橋忠,栗東,2018103021,01066,マクフィ Makfi(英) ,ココモオレンジ ,キングカメハメハ 
5,5,6,メイショウコホク,セ8,60.0,小坂,藤沢,栗東,2017106373,01063,ダイワメジャー ,アルペンローズ Alpine Rose(米) ,Kris S. 
6,6,7,スマートルミエール,牡8,60.0,五十嵐,高橋文,美浦,2017103868,01069,ディープインパクト ,アイラブリリ ,ストラヴィンスキー 
7,6,8,フリーダムレイン,牡4,59.0,中村,高橋一,栗東,2021105792,01101,ミッキーアイル ,マンデラ Mandela(独) ,Acatenango 
8,7,9,タマモエース,牡6,60.0,小野寺,宮地,栗東,2019104010,01123,ワールドエース ,ミサトサウス ,サウスヴィグラス 
9,7,10,スズノイナズマ,セ7,60.0,大江圭,深山,美浦,2018102811,01120,リーチザクラウン ,フローラルウインド ,アグネスタキオン 
10,8,11,ワープエンジン,牝4,57.0,草野,松永康,美浦,2021102579,01113,アドミラブル ,アグネスエンジェル ,ホワイトマズル White Muzzle(英) 
11,8,12,アメリカンピース,セ7,60.0,小牧加,音無,栗東,2018110131,01196,Tapit (米) ,La Cloche ,Ghostzapper 
