,式別,馬番,配当,人気
0,単勝,3,300,2
1,複勝,3,120,2
2,複勝,2,110,1
3,馬連,2-3,240,1
4,ワイド,2-3,110,1
5,ワイド,3-4,150,3
6,ワイド,2-4,120,2
7,馬単,3→2,470,2
8,3連複,2-3-4,190,1
9,3連単,3→2→4,1180,3
